dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
1983-01-01,-0.5,-6.1,8.3,1540.0,738.0,,,,,,,,20.0,70.0,1540.0,318.0,0.4,,1.5,,320.0,50.0,,1640.0,9.8,6.4,,,,2.0,2.0,-7.1,-7.6,0.5,,1.3,1.5,2.0,2.9,4.1,6.7,,,,,,,,3.7,1014.5,,,,,,,,1.5,,256,127.2391,35.075
1983-01-02,0.3,-4.7,6.6,1445.0,808.0,,,,,,,,41.0,70.5,1456.0,1329.0,1.5,,5.0,,320.0,360.0,,1400.0,9.8,6.5,,,,1.3,1.3,-5.0,-7.0,1.1,,1.8,1.9,2.2,2.8,3.8,6.5,,,,,,,,4.2,1015.8,,,,,,,,1.2,,256,127.2391,35.075
1983-01-03,-0.7,-5.9,7.6,1530.0,800.0,,,,,,,,26.0,73.0,1310.0,834.0,1.0,,4.0,,70.0,70.0,,1300.0,9.9,7.0,,,,0.0,0.0,-6.4,-8.0,0.5,,1.3,1.5,2.1,2.8,3.7,6.3,,,,,,,,3.8,1022.5,,,,,,,,2.2,,256,127.2391,35.075
1983-01-04,0.9,-6.6,8.3,1600.0,240.0,,,,,4.5,,,44.0,76.5,1510.0,216.0,0.3,,1.5,,20.0,360.0,,1630.0,9.9,0.9,,,,7.3,7.3,-3.3,-8.4,1.4,,1.5,1.4,1.9,2.6,3.7,6.3,,,,,,,,4.9,1021.9,,,,,,,,2.0,,256,127.2391,35.075
1983-01-05,3.3,1.8,5.1,1530.0,2140.0,9.4,,,15.92,4.9,,,84.0,94.8,0.0,243.0,0.3,,1.5,,360.0,230.0,,1350.0,9.9,0.0,,,,10.0,6.0,2.5,0.5,3.2,,3.3,3.2,3.2,3.3,3.9,6.3,,,,,,,,7.3,1014.6,,,,,,,,0.4,{비}0130-{비}{강도0}0300-{비}{강도0}0900-{비}{강도0}1500-1725.,256,127.2391,35.075
1983-01-06,4.9,1.4,10.0,1555.0,815.0,,,,,1.8,,,63.0,88.5,1530.0,354.0,0.4,,1.5,,230.0,360.0,,1800.0,9.9,2.3,,,,10.0,6.5,3.0,-0.5,5.4,,5.3,4.9,4.4,4.2,4.3,6.2,,,,,,,,7.6,1015.8,,,,,,,,1.3,{박무}0012-{박무}{강도0}0300-{박무}{강도0}0900-1035.,256,127.2391,35.075
1983-01-07,5.6,2.9,8.0,1545.0,0.0,1.8,,,0.97,0.0,,,55.0,81.0,1705.0,1191.0,1.4,,5.5,,320.0,360.0,,2010.0,9.9,0.4,,,,9.3,5.8,2.4,1.1,5.2,,5.1,5.0,5.0,5.0,5.1,6.2,,,,,,,,7.3,1014.3,,,,,,,,1.0,{비}0717-0815.  {박무}0820-{박무}{강도0}0900-1315.,256,127.2391,35.075
1983-01-08,-2.3,-6.9,3.5,0.0,2400.0,0.0,,,5.1,0.0,,,44.0,55.8,1658.0,2871.0,3.3,,5.0,,20.0,360.0,,1440.0,9.9,1.2,,,,7.0,4.3,-10.0,-7.4,0.1,,1.7,2.7,3.6,4.4,5.3,6.2,,,0.0,0.0,0.0,,,2.9,1019.6,,,,,,,,0.5,{눈}0624-{눈}{강도0}0900-1130.,256,127.2391,35.075
1983-01-09,-6.0,-8.7,-2.6,1430.0,530.0,,,,,0.0,,,27.0,44.5,1500.0,2091.0,2.4,,4.5,,20.0,360.0,,1550.0,9.9,3.6,,,,2.0,0.0,-16.7,-9.6,-3.2,,-1.0,0.5,1.8,3.0,4.5,6.0,,,,,,,,1.7,1024.4,,,,,,,,0.7,,256,127.2391,35.075
1983-01-10,-4.5,-7.2,-0.8,1330.0,0.0,0.0,,,1.37,,,,32.0,56.3,1550.0,2253.0,2.6,,5.0,,340.0,50.0,,1450.0,9.9,7.4,,,,2.5,2.5,-12.3,-8.3,-3.0,,-1.3,-0.2,1.0,2.3,3.9,6.4,,,,,,,,2.4,1027.0,,,,,,,,1.0,{눈}0225-{눈}{강도0}0300-0347.,256,127.2391,35.075
1983-01-11,-2.2,-8.6,3.4,1550.0,400.0,0.1,,,1.53,0.1,,,38.0,58.5,1330.0,1185.0,1.4,,3.5,,70.0,70.0,,1210.0,10.0,2.1,,,,6.5,2.0,-9.7,-10.9,-1.9,,-1.3,-0.5,0.6,1.9,3.4,6.2,,,0.1,0.1,0.1,2142.0,2142.0,3.1,1024.4,,,,,,,,0.6,{눈}2010-{눈}{강도0}2100-2142.,256,127.2391,35.075
1983-01-12,-1.8,-7.3,4.0,1500.0,430.0,,,,,0.0,,,42.0,71.8,1530.0,1245.0,1.4,,4.5,,50.0,20.0,,1800.0,10.0,4.1,,,,4.5,4.5,-7.1,-9.0,-1.0,,-0.5,0.0,0.7,1.7,3.2,5.8,,,0.1,,,0.0,,3.6,1018.2,,,,,,,,1.2,,256,127.2391,35.075
1983-01-13,-2.0,-6.3,2.6,1310.0,400.0,0.1,,,2.33,0.1,,,51.0,71.3,1550.0,951.0,1.1,,4.0,,360.0,90.0,,1610.0,10.0,0.4,,,,5.5,4.8,-6.7,-8.4,-1.4,,-0.6,0.0,0.8,1.6,3.2,5.8,,,0.2,0.2,0.2,1150.0,1150.0,3.7,1017.4,,,,,,,,0.7,{눈}0835-{눈}{강도0}0900-0935.  {눈}1035-1150.  {눈}1435-1440.,256,127.2391,35.075
1983-01-14,-2.4,-9.0,6.5,1411.0,748.0,,,,,,,,36.0,76.3,1451.0,759.0,0.9,,4.5,,290.0,290.0,,1510.0,10.0,7.7,,,,0.8,0.8,-6.9,-10.8,-1.2,,-1.3,-0.4,0.6,1.6,2.9,5.6,,,,,,,,3.7,1020.5,,,,,,,,1.0,,256,127.2391,35.075
1983-01-15,-2.3,-8.1,6.1,1542.0,758.0,,,,,,,,40.0,79.8,1607.0,354.0,0.4,,2.5,,50.0,50.0,,1520.0,10.0,4.5,,,,3.3,3.3,-6.0,-9.6,-1.3,,-0.9,-0.2,0.5,1.5,2.7,5.6,,,,,,,,3.9,1022.7,,,,,,,,0.9,,256,127.2391,35.075
1983-01-16,-0.7,-7.6,8.4,1505.0,615.0,,,,,,,,30.0,75.8,1530.0,447.0,0.5,,3.0,,70.0,50.0,,1540.0,10.1,7.1,,,,3.3,0.0,-5.7,-9.3,0.3,,-0.6,0.0,0.7,1.6,2.7,5.3,,,,,,,,4.0,1023.2,,,,,,,,1.3,,256,127.2391,35.075
1983-01-17,-0.1,-3.6,3.8,1428.0,330.0,9.0,,,9.67,11.7,,,71.0,91.8,1345.0,228.0,0.3,,2.0,,50.0,50.0,,1550.0,10.1,0.0,,,,7.5,5.8,-1.4,-5.6,-0.7,,-0.2,0.0,0.9,1.5,2.7,5.2,,,3.5,3.5,3.5,2400.0,2400.0,5.6,1018.5,,,,,,,,0.4,{비}1420-{비}{강도0}1500-{진눈깨비}1906-{눈}1935-{눈}{강도0}2100-{눈}{강도0}2400-,256,127.2391,35.075
1983-01-18,0.7,-1.1,3.0,1530.0,2300.0,2.7,,,2.08,0.3,,,52.0,73.3,1354.0,1392.0,1.6,,4.0,,320.0,320.0,,1650.0,10.1,6.7,,,,6.0,6.0,-3.8,-1.7,-0.1,,0.1,0.2,0.9,1.6,2.7,5.1,,,4.9,1.8,1.8,205.0,205.0,4.7,1016.2,,,,,,,,1.5,-{눈}-0205.,256,127.2391,35.075
1983-01-19,-1.6,-5.5,0.6,1230.0,2400.0,0.9,,,7.65,0.6,,,52.0,65.3,1300.0,1575.0,1.8,,4.5,,290.0,320.0,,1410.0,10.1,2.3,,,,6.5,6.5,-7.4,-6.0,-0.1,,0.1,0.4,0.9,1.5,2.7,5.1,,,3.4,1.6,2.8,940.0,940.0,3.6,1020.5,,,,,,,,0.3,{눈}0548-0730.  {눈}0835-{눈}{강도0}0900-1048.  {눈}1346-1410.  {눈}1455-{눈}{강도0}1500-1815.,256,127.2391,35.075
1983-01-20,-5.9,-9.8,-1.2,1330.0,2400.0,,,,,,,,46.0,67.5,1430.0,1200.0,1.4,,4.0,,50.0,360.0,,1600.0,10.1,6.3,,,,2.0,2.0,-11.4,-11.4,-0.4,,0.1,0.5,0.9,1.5,2.6,5.0,,,3.0,,,0.0,,2.6,1024.8,,,,,,,,1.2,,256,127.2391,35.075
1983-01-21,-7.7,-12.3,-1.2,1350.0,730.0,,,,,,,,42.0,70.8,1600.0,1290.0,1.5,,5.0,,360.0,270.0,,1240.0,10.2,6.2,,,,4.3,4.3,-12.7,-13.4,-0.8,,0.1,0.5,0.9,1.5,2.4,4.8,,,2.2,,,0.0,,2.3,1025.6,,,,,,,,1.2,,256,127.2391,35.075
1983-01-22,-5.2,-9.9,-0.3,1500.0,730.0,,,,,,,,29.0,58.3,1547.0,1665.0,1.9,,4.0,,340.0,340.0,,1220.0,10.2,7.8,,,,0.0,0.0,-13.0,-12.0,-0.9,,0.0,0.5,0.9,1.5,2.3,4.6,,,1.2,,,0.0,,2.3,1028.1,,,,,,,,1.3,,256,127.2391,35.075
1983-01-23,-3.5,-10.9,3.4,1530.0,530.0,,,,,,,,50.0,74.5,1600.0,870.0,1.0,,4.0,,250.0,250.0,,1610.0,10.2,3.1,,,,4.5,4.5,-7.4,-12.4,-0.6,,0.1,0.4,0.9,1.5,2.2,4.6,,,0.5,,,0.0,,3.6,1025.1,,,,,,,,1.4,,256,127.2391,35.075
1983-01-24,-1.4,-7.9,7.4,1530.0,726.0,,,,,,,,35.0,76.8,1530.0,639.0,0.7,,4.0,,360.0,270.0,,1200.0,10.2,8.0,,,,0.0,0.0,-5.9,-9.3,-0.5,,0.0,0.3,0.9,1.5,2.3,4.6,,,0.2,,,0.0,,4.0,1022.0,,,,,,,,1.7,,256,127.2391,35.075
1983-01-25,-0.8,-7.7,8.4,1507.0,805.0,,,,,,,,36.0,72.0,1630.0,777.0,0.9,,3.5,,270.0,320.0,,1500.0,10.3,8.0,,,,0.0,0.0,-6.4,-9.5,-0.2,,-0.1,0.2,0.8,1.3,2.3,4.6,,,,,,,,3.8,1020.5,,,,,,,,1.7,{박무}0215-{박무}{강도0}0300-0835.,256,127.2391,35.075
1983-01-26,0.4,-5.9,9.5,1555.0,800.0,,,,,,,,22.0,76.5,1400.0,513.0,0.6,,3.0,,360.0,20.0,,1420.0,10.3,7.8,,,,0.0,0.0,-4.9,-8.4,0.4,,0.0,0.3,0.8,1.2,2.2,4.6,,,,,,,,4.3,1020.1,,,,,,,,1.6,{박무}0415-{박무}{강도0}0900-0945.,256,127.2391,35.075
1983-01-27,0.6,-6.7,9.2,1530.0,730.0,,,,,,,,20.0,69.3,1530.0,537.0,0.6,,3.0,,270.0,270.0,,1900.0,10.3,4.6,,,,5.5,2.3,-6.3,-8.6,0.6,,0.4,0.7,1.1,1.4,2.2,4.6,,,,,,,,3.9,1018.9,,,,,,,,1.4,{박무}0231-{박무}{강도0}0300-0825.,256,127.2391,35.075
1983-01-28,1.4,-4.3,10.7,1630.0,700.0,,,,,,,,29.0,79.3,1634.0,738.0,0.9,,4.0,,360.0,360.0,,1450.0,10.3,7.3,,,,1.0,1.0,-2.7,-6.6,1.9,,2.1,1.8,1.5,1.6,2.2,4.5,,,,,,,,5.0,1015.8,,,,,,,,1.7,{박무}0345-{박무}{강도0}0900-1115.,256,127.2391,35.075
1983-01-29,3.3,-3.6,13.0,1510.0,800.0,,,,,,,,46.0,80.3,1500.0,348.0,0.4,,2.5,,160.0,290.0,,1520.0,10.4,1.7,,,,7.0,7.0,-0.4,-5.7,3.5,,3.2,2.7,2.2,2.0,2.2,4.4,,,,,,,,6.1,1010.4,,,,,,6.73,,1.0,{박무}0135-{박무}{강도1}0300-{시정(미만)}{1km}{안개}0510-{시정(미만)}{0.5km}{안개}0537-{시정(미만)}{0.2km}{안개}0621-{시정(미만)}{0.1km}{안개}0651-{시정(이상)}{0.1km}{안개}0845-{안개}{강도2}0900-{시정(이상)}{0.2km}{안개}1125-{시정(이상)}{0.5km}{안개}1145-{시정(이상)}{1km}{박무}1154-1230.,256,127.2391,35.075
1983-01-30,4.8,-0.9,7.2,700.0,2400.0,,,,,,,,65.0,79.8,1530.0,1422.0,1.6,,4.5,,290.0,320.0,,1050.0,10.4,0.2,,,,9.0,7.0,1.5,-2.5,4.1,,4.4,4.3,3.5,2.9,2.7,4.4,,,,,,,,6.8,1009.2,,,,,,,,0.7,,256,127.2391,35.075
1983-01-31,2.3,-2.3,11.1,1638.0,230.0,,,,,2.0,,,39.0,82.5,1630.0,357.0,0.4,,1.5,,110.0,160.0,,2200.0,10.4,5.2,,,,5.0,5.0,-1.0,-4.6,3.7,,4.2,4.0,3.5,3.2,3.2,4.5,,,,,,,,5.7,1017.2,,,,,,7.65,,1.6,{박무}0025-{시정(미만)}{1km}{안개}0236-{안개}{강도0}0300-{시정(미만)}{0.5km}{안개}0336-{시정(미만)}{0.2km}{안개}0405-{시정(미만)}{0.1km}{안개}0451-{시정(이상)}{0.1km}{안개}0758-{시정(이상)}{0.2km}{안개}0845-{안개}{강도1}0900-{시정(이상)}{0.5km}{안개}0937-{시정(이상)}{1km}{박무}1015-1151.,256,127.2391,35.075
1983-02-01,3.6,-1.8,9.6,2111.0,245.0,7.3,,,8.87,15.6,,,81.0,92.5,2110.0,297.0,0.3,,2.0,,90.0,50.0,,1850.0,10.5,0.0,,,,8.3,5.3,2.4,-3.6,3.5,,3.5,3.6,3.7,3.5,3.7,4.6,,,,,,,,7.5,1006.8,,,,,,,,0.2,{박무}0042-{박무}{강도1}0300-0815.  {비}0808-{비}{강도0}0900-{비}{강도0}1500-1507.  {안개비}1712-1835.{비}2330-{비}{강도0}2400-,256,127.2391,35.075
1983-02-02,5.7,3.3,7.4,0.0,2400.0,11.1,,,19.5,1.8,,,80.0,93.0,1330.0,546.0,0.6,,3.0,,230.0,180.0,,1530.0,10.5,0.0,,,,10.0,6.5,4.6,2.9,5.4,,5.2,4.9,4.5,4.1,3.9,4.7,,,,,,,,8.5,1003.8,,,,,,,,0.3,-{비}-{비}{강도0}0300-{안개비}0726-{안개비}{강도0}0900-1235.  {안개비}1515-{안개비}{강도0}2100-{비}2132-2210.,256,127.2391,35.075
1983-02-03,3.8,-1.6,8.4,1650.0,2400.0,1.0,,,1.82,,,,39.0,74.8,1653.0,1152.0,1.3,,4.0,,360.0,360.0,,1340.0,10.5,6.5,,,,5.3,4.3,-0.8,-3.7,5.4,,5.8,5.7,5.1,4.7,4.4,5.0,,,,,,,,5.9,1011.4,,,,,,,,1.9,{비}0026-0215.,256,127.2391,35.075
1983-02-04,0.2,-4.3,6.3,1500.0,730.0,,,,,,,,44.0,76.0,1508.0,942.0,1.1,,4.0,,250.0,160.0,,1500.0,10.6,5.2,,,,4.0,4.0,-4.2,-5.8,2.3,,3.5,4.0,4.2,4.4,4.7,5.1,,,,,,,,4.5,1013.1,,,,,,5.82,,1.6,{박무}0405-{시정(미만)}{1km}{안개}0441-{시정(미만)}{0.5km}{안개}0510-{시정(미만)}{0.2km}{안개}0535-{시정(미만)}{0.1km}{안개}0551-{시정(이상)}{0.1km}{안개}0845-{안개}{강도2}0900-{시정(이상)}{0.2km}{안개}0955-{시정(이상)}{0.5km}{안개}1020-{시정(이상)}{1km}{박무}1030-1055.,256,127.2391,35.075
1983-02-05,1.7,-3.3,9.5,1455.0,215.0,,,,,,,,39.0,78.5,1440.0,843.0,1.0,,5.0,,250.0,230.0,,1410.0,10.6,3.5,,,,5.5,5.5,-2.5,-5.4,2.5,,3.4,3.6,3.8,4.0,4.6,5.4,,,,,,,,5.1,1011.9,,,,,,,,1.1,,256,127.2391,35.075
1983-02-06,4.4,0.5,11.1,1455.0,728.0,,,,,0.0,,,28.0,66.8,1510.0,2211.0,2.6,,6.5,,230.0,230.0,,1550.0,10.6,5.0,,,,4.8,4.8,-2.4,-1.7,3.8,,4.1,4.2,4.2,4.3,4.3,5.4,,,,,,,,5.3,1010.4,,,,,,,,2.4,{박무}0610-{박무}{강도0}0900-1012.,256,127.2391,35.075
1983-02-07,1.2,-3.0,4.4,1428.0,2400.0,0.0,,,4.47,1.7,,,49.0,59.8,1531.0,2571.0,3.0,,5.0,,230.0,250.0,,1400.0,10.6,3.4,,,,3.5,3.5,-5.9,-5.1,1.2,,2.7,3.0,3.6,4.0,4.7,5.5,,,,,,,,4.0,1013.0,,,,,,,,1.1,{눈}0744-{눈}{강도0}0900-1045.  {눈}1310-1405.  {눈}1550-1622.,256,127.2391,35.075
1983-02-08,-0.8,-6.9,3.8,1430.0,700.0,3.1,,,5.57,1.4,,,36.0,68.8,1410.0,1902.0,2.2,,7.5,,290.0,320.0,,1400.0,10.7,3.1,,,,6.8,6.0,-6.4,-8.4,0.2,,0.9,1.5,2.6,3.3,4.4,5.3,,,5.2,5.2,5.8,1025.0,1025.0,3.8,1010.2,,,,,,,,1.1,{눈}0038-0245.  {눈}0818-{시정(미만)}{1km}{눈}0838-{눈}{강도1}0900-{시정(이상)}{1km}{눈}0913-1045.  {눈}1435-{눈}{강도0}1500-1535.,256,127.2391,35.075
