dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2010-01-01,-1.8,-5.7,2009-12-31 19:56:00+00:00,2.3,2010-01-01 06:19:00+00:00,0.0,0.0,,7.0,2010-01-01 12:02:00+00:00,3.3,111.9,1440,799,126.1376,35.2022
2010-01-02,3.0,-0.2,2010-01-01 15:01:00+00:00,8.2,2010-01-02 04:46:00+00:00,0.0,0.0,,9.7,2010-01-02 14:07:00+00:00,4.2,304.0,1439,799,126.1376,35.2022
2010-01-03,0.5,-0.6,2010-01-03 09:03:00+00:00,2.5,2010-01-02 15:01:00+00:00,0.0,0.0,,11.1,2010-01-02 17:36:00+00:00,2.6,306.9,1439,799,126.1376,35.2022
2010-01-04,2.2,-1.1,2010-01-04 13:46:00+00:00,6.3,2010-01-04 01:03:00+00:00,1.0,0.5,2010-01-04 07:00:00+00:00,12.5,2010-01-04 08:03:00+00:00,4.9,315.4,1438,799,126.1376,35.2022
2010-01-05,-0.9,-2.5,2010-01-04 22:23:00+00:00,0.0,2010-01-04 15:04:00+00:00,0.0,0.0,,13.5,2010-01-04 23:33:00+00:00,4.2,312.1,1437,799,126.1376,35.2022
2010-01-06,-1.1,-4.0,2010-01-06 00:58:00+00:00,-0.1,2010-01-05 22:23:00+00:00,0.0,0.0,,11.8,2010-01-05 18:24:00+00:00,4.0,295.5,1439,799,126.1376,35.2022
2010-01-07,-2.3,-4.6,2010-01-07 01:13:00+00:00,0.2,2010-01-06 19:46:00+00:00,0.5,0.5,2010-01-06 23:00:00+00:00,10.7,2010-01-06 16:49:00+00:00,2.3,305.3,1439,799,126.1376,35.2022
2010-01-08,-1.4,-3.6,2010-01-07 22:52:00+00:00,0.3,2010-01-08 05:05:00+00:00,0.0,0.0,,5.2,2010-01-08 00:35:00+00:00,1.5,99.8,1440,799,126.1376,35.2022
2010-01-09,0.8,-1.4,2010-01-08 20:49:00+00:00,3.3,2010-01-09 10:51:00+00:00,0.0,0.0,,4.7,2010-01-09 03:07:00+00:00,2.0,128.9,1439,799,126.1376,35.2022
2010-01-10,1.9,1.2,2010-01-10 14:40:00+00:00,2.3,2010-01-09 17:29:00+00:00,0.0,0.0,,4.9,2010-01-10 05:41:00+00:00,1.3,107.7,1440,799,126.1376,35.2022
2010-01-11,1.4,0.4,2010-01-11 03:57:00+00:00,2.7,2010-01-11 06:57:00+00:00,0.0,0.0,,10.4,2010-01-11 09:52:00+00:00,2.3,287.3,1439,799,126.1376,35.2022
2010-01-12,-2.0,-4.2,2010-01-12 04:49:00+00:00,1.3,2010-01-11 15:01:00+00:00,2.5,1.5,2010-01-12 12:00:00+00:00,11.9,2010-01-12 14:02:00+00:00,3.0,206.6,1439,799,126.1376,35.2022
2010-01-13,-2.9,-5.2,2010-01-12 19:57:00+00:00,-1.5,2010-01-13 14:12:00+00:00,5.5,2.0,2010-01-12 16:00:00+00:00,13.8,2010-01-12 19:15:00+00:00,4.3,300.3,1438,799,126.1376,35.2022
2010-01-14,-0.7,-3.5,2010-01-13 22:42:00+00:00,2.3,2010-01-14 04:58:00+00:00,0.5,0.5,2010-01-13 17:00:00+00:00,8.1,2010-01-13 15:21:00+00:00,3.2,225.8,1438,799,126.1376,35.2022
2010-01-15,1.7,-0.6,2010-01-14 22:23:00+00:00,5.5,2010-01-15 05:47:00+00:00,0.0,0.0,,8.8,2010-01-15 06:37:00+00:00,1.9,316.5,1440,799,126.1376,35.2022
2010-01-16,-0.6,-2.2,2010-01-15 23:47:00+00:00,0.7,2010-01-16 05:33:00+00:00,0.0,0.0,,5.4,2010-01-16 06:31:00+00:00,1.4,56.9,1438,799,126.1376,35.2022
2010-01-17,0.7,-1.7,2010-01-16 21:17:00+00:00,3.1,2010-01-17 06:04:00+00:00,0.0,0.0,,4.4,2010-01-16 18:04:00+00:00,1.2,77.5,1438,799,126.1376,35.2022
2010-01-18,2.6,-1.1,2010-01-17 20:51:00+00:00,6.9,2010-01-18 06:37:00+00:00,0.0,0.0,,4.9,2010-01-18 05:52:00+00:00,1.2,89.9,1436,799,126.1376,35.2022
2010-01-19,6.1,1.1,2010-01-18 17:21:00+00:00,10.6,2010-01-19 12:08:00+00:00,0.0,0.0,,5.7,2010-01-19 08:43:00+00:00,2.5,149.4,1437,799,126.1376,35.2022
2010-01-20,8.7,5.0,2010-01-20 14:56:00+00:00,12.1,2010-01-20 02:33:00+00:00,10.0,3.5,2010-01-20 01:00:00+00:00,9.5,2010-01-20 03:06:00+00:00,3.4,246.2,1438,799,126.1376,35.2022
2010-01-21,1.0,-0.3,2010-01-21 05:26:00+00:00,5.0,2010-01-20 15:01:00+00:00,0.5,0.5,2010-01-20 18:00:00+00:00,14.9,2010-01-20 18:49:00+00:00,5.3,299.1,1438,799,126.1376,35.2022
2010-01-22,0.0,-1.9,2010-01-22 01:59:00+00:00,2.0,2010-01-22 07:06:00+00:00,0.0,0.0,,10.1,2010-01-22 07:32:00+00:00,3.3,305.5,1437,799,126.1376,35.2022
2010-01-23,0.4,-1.3,2010-01-22 21:40:00+00:00,2.9,2010-01-23 03:35:00+00:00,0.0,0.0,,7.6,2010-01-22 20:46:00+00:00,2.0,266.5,1439,799,126.1376,35.2022
2010-01-24,2.7,-1.2,2010-01-23 19:18:00+00:00,6.1,2010-01-24 06:36:00+00:00,0.0,0.0,,4.8,2010-01-24 05:54:00+00:00,1.8,169.0,1440,799,126.1376,35.2022
2010-01-25,2.0,-0.6,2010-01-25 14:13:00+00:00,6.1,2010-01-24 17:43:00+00:00,0.0,0.0,,13.4,2010-01-25 01:30:00+00:00,4.1,308.2,1439,799,126.1376,35.2022
