dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
2005-10-09,16.8,12.6,21.2,1158.0,2259.0,,,,,,,,47.0,67.4,1208.0,2246.0,2.6,9.1,6.6,140.0,140.0,140.0,1400.0,1405.0,11.5,5.5,,,,4.9,4.1,10.7,11.4,15.2,,,,,,,,,,,,,,,12.9,1021.5,1023.5,1021.8,1024.6,40.0,1006.0,,,,,90,128.5647,38.2509
2005-10-09,12.7,7.7,20.2,1246.0,625.0,,,,,,,,50.0,80.6,1254.0,778.0,0.9,6.3,4.3,230.0,230.0,230.0,1259.0,1252.0,11.5,5.7,,,,2.9,2.9,9.5,7.1,15.2,,16.0,15.7,16.4,16.8,18.7,19.4,,,,,,,,11.9,1005.3,1023.8,1022.1,1024.9,8.0,2151.0,,1.2,1.9,{박무}0510-{박무}{강도0}0600-0850.,95,127.3042,38.1479
2005-10-09,13.6,8.0,21.9,1403.0,639.0,,,,,,,,49.0,81.4,1405.0,691.0,0.8,6.9,4.0,140.0,160.0,20.0,1301.0,1310.0,11.5,6.2,,,,1.6,1.6,10.4,7.3,16.0,,,,,,,,,,,,,,,12.7,1010.1,1023.6,1021.8,1024.7,3.0,913.0,,,,{박무}0430-{박무}{강도0}0600-{박무}{강도0}0900-1030. {박무}2320-{박무}{강도0}2400-,98,127.0607,37.9019
2005-10-09,13.5,7.9,21.6,1511.0,514.0,,,,,,,,52.0,84.9,1523.0,605.0,0.7,3.9,2.2,250.0,70.0,70.0,1403.0,800.0,11.5,7.0,,,,3.1,3.1,10.9,7.8,16.4,,,,,,,,,,,,,,,13.1,1019.7,1023.5,1021.6,1024.7,1.0,906.0,3.75,,,{박무}0210-{박무}{강도1}0300-{시정(미만)}{1km}{안개}0350-{시정(이상)}{1km}{박무}0430-{시정(미만)}{1km}{안개}0540-{안개}{강도0}0600-{시정(미만)}{0.5km}{안개}0620-{시정(이상)}{0.5km}{안개}0715-{시정(이상)}{1km}{박무}0845-{박무}{강도1}0900-1030. {박무}2315-{박무}{강도0}2400-,99,126.7665,37.8859
2005-10-09,10.7,8.6,14.5,1254.0,2328.0,0.0,0.0,0.0,1.0,,,,63.0,84.1,1122.0,1296.0,1.5,6.4,3.4,90.0,90.0,50.0,1023.0,1229.0,11.5,4.8,2.27,12.39,1000.0,8.1,5.1,8.3,7.9,13.5,,,,,,,,,,,,,,,10.9,926.5,1023.9,1021.9,1025.2,0.0,2239.0,,,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-0720. {비}2045-{비}{강도0}2100-2145.,100,128.7587,37.6869
2005-10-09,15.3,11.4,22.2,1535.0,42.0,,,,,,,,39.0,76.3,1538.0,691.0,0.8,4.0,2.6,270.0,270.0,250.0,1506.0,1515.0,11.5,6.1,2.41,14.62,1300.0,3.5,2.9,10.9,7.4,18.3,22.0,18.3,18.6,18.7,19.1,19.9,21.4,18.0,20.7,,,,,,13.0,1014.4,1023.5,1021.6,1024.7,1645.0,858.0,,1.8,2.0,,101,127.7357,37.9026
2005-10-09,16.5,13.7,20.4,1421.0,0.0,,,,,,,,35.0,57.1,1359.0,2678.0,3.1,7.3,5.3,270.0,270.0,270.0,1455.0,10.0,11.5,10.5,,,,0.8,0.1,8.0,9.8,14.3,,,,,,,,,,,,,,,10.8,1004.5,1023.6,1022.4,1024.6,29.0,1025.0,,,,,102,124.6305,37.9661
2005-10-09,16.8,13.8,21.2,1218.0,551.0,,,,,,,,41.0,69.5,1228.0,2074.0,2.4,7.5,5.0,110.0,140.0,250.0,1344.0,1415.0,11.5,6.4,2.12,12.97,1000.0,6.5,4.6,10.9,12.6,17.7,21.0,18.2,18.3,18.7,19.2,20.1,21.6,17.0,20.1,,,,,,13.2,1020.6,1023.7,1021.8,1024.9,12.0,914.0,,1.1,2.1,,105,128.891,37.7515
2005-10-09,16.9,13.7,21.4,1337.0,655.0,,,,,,,,44.0,71.1,1342.0,2246.0,2.6,8.2,5.3,140.0,140.0,230.0,1423.0,1528.0,11.5,7.9,,,,6.6,3.1,11.5,11.5,19.0,,,,,,,,,,,,,,,13.7,1019.6,1024.0,1021.7,1025.2,0.0,918.0,,,,,106,129.1243,37.5071
2005-10-09,16.2,11.8,21.8,1537.0,359.0,,,,,,,,43.0,71.8,1604.0,1123.0,1.3,4.5,2.7,50.0,200.0,50.0,1051.0,1227.0,11.5,7.9,2.38,13.9,1200.0,2.5,1.5,11.0,11.3,17.3,22.0,17.9,17.4,18.5,18.9,20.2,21.0,18.0,21.2,,,,,,13.2,1012.9,1023.1,1021.3,1024.3,4.0,910.0,,1.9,2.4,,108,126.9658,37.5714
2005-10-09,16.0,10.6,22.1,1424.0,501.0,,,,,,,,49.0,67.0,1508.0,950.0,1.1,5.3,3.3,250.0,250.0,70.0,1437.0,1400.0,11.5,7.7,2.13,14.67,1300.0,1.8,1.5,9.9,9.2,16.0,21.5,17.5,18.0,18.7,19.4,20.2,21.6,17.5,20.0,,,,,,12.3,1014.8,1022.9,1021.1,1024.0,0.0,945.0,,2.9,4.3,,112,126.6244,37.4776
2005-10-09,14.8,10.3,21.9,1515.0,636.0,,,,,,,,55.0,82.5,1322.0,605.0,0.7,3.7,2.3,230.0,250.0,20.0,1429.0,1433.0,11.5,5.5,2.45,13.64,1100.0,5.8,5.0,11.7,10.1,16.5,,,,,,,,,,,,,,,13.8,1005.5,1023.5,1021.7,1024.7,0.0,838.0,6.0,,,{박무}0030-{시정(미만)}{1km}{안개}0150-{안개}{강도0}0300-{시정(미만)}{0.5km}{안개}0350-{시정(이상)}{0.5km}{안개}0440-{안개}{강도0}0600-{시정(이상)}{1km}{박무}0750-{박무}{강도0}0900-1040.,114,127.9466,37.3375
2005-10-09,15.9,11.0,22.3,1548.0,409.0,,,,,,,,42.0,74.5,1549.0,518.0,0.6,4.5,3.0,90.0,90.0,110.0,924.0,932.0,11.5,7.9,1.93,13.98,1200.0,2.1,1.0,11.2,9.8,16.7,21.0,17.2,17.9,18.0,18.3,19.1,20.5,16.9,20.1,,,,,,13.3,1019.2,1023.2,1021.5,1024.5,0.0,908.0,,1.2,1.8,{박무}0730-{박무}{강도0}0900-1140. {박무}2140-{박무}{강도0}2400-,119,126.9853,37.2723
2005-10-09,15.1,10.7,21.7,1411.0,2332.0,,,,,,,,43.0,75.9,1139.0,864.0,1.0,4.3,2.8,180.0,160.0,140.0,1426.0,1551.0,11.5,6.0,,,,4.6,3.6,10.6,7.8,17.4,,,,,,,,,,,,,,,12.8,995.5,1024.0,1022.2,1026.0,1500.0,2343.0,,,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-0920. {놀}1720-1810.,121,128.4574,37.1813
2005-10-09,15.0,10.7,21.5,1428.0,2322.0,,,,,,,,48.0,82.4,1456.0,778.0,0.9,4.8,2.8,250.0,250.0,70.0,1158.0,1014.0,11.5,5.3,,,,6.0,4.8,11.8,10.1,17.0,,,,,,,,,,,,,,,14.0,1009.6,1023.4,1021.8,1024.8,0.0,2333.0,6.75,,,-{박무}-{시정(미만)}{1km}{안개}0035-{시정(미만)}{0.5km}{안개}0041-{시정(미만)}{0.2km}{안개}0052-{안개}{강도2}0300-{안개}{강도2}0600-{시정(이상)}{0.2km}{안개}0620-{안개}{시정(이상)}{0.5km}{안개}0635-{시정(이상)}{1km}0720-{박무}{강도1}0900-1140. {놀}1740-1802.,127,127.9525,36.9705
2005-10-09,14.2,6.9,22.6,1358.0,547.0,,,,,,,,42.0,77.9,1343.0,1210.0,1.4,6.5,4.3,340.0,340.0,20.0,1611.0,1618.0,11.5,9.6,2.51,17.14,1200.0,3.0,1.5,10.1,6.5,16.4,,16.5,17.0,17.5,18.5,19.5,20.3,,,,,,,,12.5,1020.0,1023.0,1021.9,1023.9,0.0,902.0,,2.3,2.9,,129,126.4939,36.7766
2005-10-09,16.4,12.5,21.8,1055.0,2232.0,,,,,,,,39.0,71.3,1120.0,2506.0,2.9,5.8,4.4,320.0,110.0,290.0,114.0,1150.0,11.5,6.1,,,,5.3,2.1,10.8,11.1,17.6,,,,,,,,,,,,,,,13.1,1018.2,1024.0,1021.3,1025.0,0.0,916.0,,,,{놀}1740-1820.  {박무}2150-{박무}{강도0}2400-,130,129.4128,36.9918
2005-10-09,15.4,9.6,22.7,1542.0,448.0,,,,,,,,43.0,75.4,1503.0,778.0,0.9,4.4,2.8,20.0,50.0,70.0,1633.0,1624.0,11.5,4.9,2.28,12.1,1200.0,2.1,1.8,10.9,8.7,16.9,,17.4,17.9,18.6,18.9,20.6,22.0,,,,,,,,13.1,1016.4,1023.2,1021.7,1024.7,1534.0,912.0,,1.7,2.4,{박무}0120-{박무}{강도0}0300-{박무}{강도2}0600-{박무}{강도1}0900-{박무}{강도0}1200-1245.,131,127.4407,36.6392
2005-10-09,15.5,8.8,21.6,1326.0,555.0,,,,,,,,49.0,76.6,1337.0,1123.0,1.3,6.0,3.6,20.0,50.0,360.0,1224.0,1234.0,11.5,7.4,2.09,13.02,1000.0,3.3,1.9,11.4,7.2,16.3,22.6,16.7,17.1,17.9,18.5,20.2,21.6,19.2,22.5,,,,,,13.5,1014.8,1023.3,1021.8,1024.7,1529.0,857.0,,1.0,1.7,,133,127.3721,36.372
2005-10-09,13.6,7.4,20.2,1558.0,610.0,,,,,,,,54.0,77.1,1602.0,864.0,1.0,5.4,3.6,70.0,70.0,70.0,1905.0,1908.0,11.5,4.3,1.52,10.1,900.0,4.8,3.4,9.7,7.0,15.5,,,,,,,,,,,,,,,12.1,994.3,1023.3,1021.5,1024.8,1550.0,2249.0,,,,{박무}0330-{박무}{강도0}0600-0750. {놀}1710-1820.,135,127.9946,36.2203
2005-10-09,15.1,11.4,21.0,1256.0,126.0,,,,,,,,51.0,81.8,1253.0,1382.0,1.6,8.0,5.2,140.0,140.0,110.0,1145.0,1145.0,11.5,3.2,1.76,9.56,1100.0,6.5,6.0,11.7,10.0,17.6,,18.1,18.4,18.6,19.3,20.4,21.1,,,,,,,,13.8,1007.0,1023.8,1021.8,1025.1,0.0,2305.0,5.33,2.0,2.8,{박무}0140-{박무}{강도1}0300-{시정(미만)}{1km}{안개}0330-{시정(미만)}{0.5km}{안개}0410-{시정(미만)}{0.2km}{안개}0430-{시정(이상)}{0.2km}{안개}0520-{안개}{강도1}0600-{시정(이상)}{0.5km}{안개}0640-{시정(이상)}{1km}{박무}0850-{박무}{강도2}0900-0935.,136,128.7073,36.5729
2005-10-09,18.7,14.9,21.9,1358.0,139.0,0.5,0.5,0.5,3.53,,334.0,244.0,43.0,63.4,1407.0,2333.0,2.7,9.2,5.2,50.0,50.0,50.0,850.0,855.0,11.5,3.8,2.04,11.57,1300.0,6.9,4.1,11.5,10.8,19.1,21.7,20.0,19.8,19.9,20.0,20.9,21.8,18.7,20.8,,,,,,13.6,1023.0,1023.4,1020.8,1024.3,0.0,1041.0,,2.2,2.9,{비}0240-{비}{강도0}0300-{비}{강도0}0600-0612.,138,129.38,36.032
2005-10-09,17.2,12.7,22.9,1420.0,444.0,,,,,,,,40.0,65.5,1422.0,2160.0,2.5,9.8,6.0,90.0,90.0,90.0,1140.0,1146.0,11.5,5.4,1.95,11.28,1000.0,4.5,3.4,10.3,9.8,18.0,,,,,,,,,,,,,,,12.6,1016.4,1023.4,1021.4,1024.6,5.0,2257.0,,,,{박무}0620-0745.,143,128.6522,35.8282
