dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2011-01-01,0.0,-4.5,2010-12-31 21:19:00+00:00,4.2,2011-01-01 05:38:00+00:00,0.0,0.0,,15.1,2010-12-31 17:56:00+00:00,2.6,298.1,1439,909,128.7382,34.7877
2011-01-02,4.0,1.3,2011-01-01 15:09:00+00:00,8.2,2011-01-02 05:09:00+00:00,0.0,0.0,,11.7,2011-01-01 20:53:00+00:00,3.4,22.5,1440,909,128.7382,34.7877
2011-01-03,2.5,-0.6,2011-01-02 22:33:00+00:00,7.2,2011-01-03 04:04:00+00:00,0.0,0.0,,8.9,2011-01-02 16:32:00+00:00,2.5,331.8,1440,909,128.7382,34.7877
2011-01-04,2.1,-0.1,2011-01-04 14:52:00+00:00,5.9,2011-01-04 04:30:00+00:00,0.0,0.0,,8.8,2011-01-03 19:24:00+00:00,2.5,306.6,1440,909,128.7382,34.7877
2011-01-05,1.4,-1.2,2011-01-04 17:43:00+00:00,5.7,2011-01-05 05:13:00+00:00,0.0,0.0,,8.8,2011-01-05 07:29:00+00:00,2.7,270.0,1440,909,128.7382,34.7877
2011-01-06,0.2,-2.9,2011-01-06 14:58:00+00:00,4.0,2011-01-06 05:18:00+00:00,0.0,0.0,,9.6,2011-01-05 16:34:00+00:00,2.4,298.1,1393,909,128.7382,34.7877
2011-01-07,-0.5,-4.9,2011-01-06 22:37:00+00:00,3.9,2011-01-07 05:28:00+00:00,0.0,0.0,,12.1,2011-01-06 17:40:00+00:00,1.9,298.1,1420,909,128.7382,34.7877
2011-01-08,2.1,-1.1,2011-01-07 20:07:00+00:00,6.1,2011-01-08 05:40:00+00:00,0.0,0.0,,6.9,2011-01-08 11:46:00+00:00,2.0,329.1,1431,909,128.7382,34.7877
2011-01-09,1.4,-3.8,2011-01-09 14:45:00+00:00,5.8,2011-01-09 05:02:00+00:00,0.0,0.0,,11.7,2011-01-09 14:18:00+00:00,2.5,306.6,1440,909,128.7382,34.7877
2011-01-10,-1.8,-4.6,2011-01-09 20:39:00+00:00,2.1,2011-01-10 06:57:00+00:00,0.0,0.0,,10.4,2011-01-10 01:41:00+00:00,3.0,306.6,1426,909,128.7382,34.7877
2011-01-11,-0.3,-2.9,2011-01-10 22:30:00+00:00,4.0,2011-01-11 05:44:00+00:00,0.0,0.0,,10.2,2011-01-10 21:51:00+00:00,2.8,351.6,1440,909,128.7382,34.7877
2011-01-12,-1.0,-3.8,2011-01-12 14:06:00+00:00,2.0,2011-01-12 05:15:00+00:00,0.0,0.0,,9.7,2011-01-12 04:44:00+00:00,2.4,236.3,1440,909,128.7382,34.7877
2011-01-13,-1.1,-5.7,2011-01-12 19:39:00+00:00,3.3,2011-01-13 06:33:00+00:00,0.0,0.0,,6.5,2011-01-12 15:55:00+00:00,1.9,298.1,1418,909,128.7382,34.7877
2011-01-14,2.5,-1.6,2011-01-13 22:30:00+00:00,7.0,2011-01-14 05:59:00+00:00,0.0,0.0,,8.2,2011-01-14 14:15:00+00:00,2.6,295.2,1420,909,128.7382,34.7877
2011-01-15,-3.3,-9.7,2011-01-15 14:42:00+00:00,2.0,2011-01-14 15:01:00+00:00,0.0,0.0,,15.6,2011-01-15 11:26:00+00:00,2.6,306.6,1440,909,128.7382,34.7877
2011-01-16,-5.7,-10.6,2011-01-15 18:09:00+00:00,-0.7,2011-01-16 06:04:00+00:00,0.0,0.0,,11.1,2011-01-15 22:22:00+00:00,2.9,315.0,1419,909,128.7382,34.7877
2011-01-17,-1.4,-6.3,2011-01-16 20:05:00+00:00,3.9,2011-01-17 06:39:00+00:00,0.0,0.0,,7.1,2011-01-17 03:08:00+00:00,1.9,306.6,1398,909,128.7382,34.7877
2011-01-18,-0.8,-3.7,2011-01-17 19:54:00+00:00,1.9,2011-01-18 02:54:00+00:00,0.0,0.0,,9.3,2011-01-17 19:40:00+00:00,2.6,315.0,1440,909,128.7382,34.7877
2011-01-19,0.0,-3.1,2011-01-18 21:34:00+00:00,3.9,2011-01-19 05:52:00+00:00,0.0,0.0,,9.3,2011-01-19 14:12:00+00:00,2.6,317.7,1431,909,128.7382,34.7877
2011-01-20,-0.6,-3.1,2011-01-19 21:56:00+00:00,2.6,2011-01-20 05:03:00+00:00,0.0,0.0,,8.8,2011-01-19 15:12:00+00:00,2.4,343.1,1440,909,128.7382,34.7877
2011-01-21,-0.3,-3.2,2011-01-20 20:28:00+00:00,3.6,2011-01-21 05:48:00+00:00,0.0,0.0,,9.7,2011-01-20 17:51:00+00:00,2.7,2.7,1420,909,128.7382,34.7877
2011-01-22,0.7,-3.3,2011-01-21 19:56:00+00:00,5.2,2011-01-22 06:33:00+00:00,0.0,0.0,,8.9,2011-01-21 21:12:00+00:00,2.4,345.8,1430,909,128.7382,34.7877
2011-01-23,2.5,-0.5,2011-01-22 18:27:00+00:00,7.1,2011-01-23 06:16:00+00:00,0.0,0.0,,12.2,2011-01-23 11:02:00+00:00,3.4,306.6,1430,909,128.7382,34.7877
2011-01-24,-1.0,-4.0,2011-01-24 14:28:00+00:00,3.3,2011-01-24 05:42:00+00:00,0.0,0.0,,9.5,2011-01-23 16:42:00+00:00,2.4,298.1,1430,909,128.7382,34.7877
2011-01-25,-1.7,-5.6,2011-01-24 18:58:00+00:00,3.0,2011-01-25 06:35:00+00:00,0.0,0.0,,10.3,2011-01-25 14:14:00+00:00,2.0,317.7,1413,909,128.7382,34.7877
2011-01-26,-0.8,-4.2,2011-01-25 21:49:00+00:00,3.7,2011-01-26 06:27:00+00:00,0.0,0.0,,8.2,2011-01-25 17:11:00+00:00,2.2,326.2,1440,909,128.7382,34.7877
2011-01-27,-1.3,-4.6,2011-01-26 23:03:00+00:00,2.4,2011-01-27 06:41:00+00:00,0.0,0.0,,9.0,2011-01-26 19:37:00+00:00,2.2,303.7,1440,909,128.7382,34.7877
2011-01-28,0.5,-1.7,2011-01-27 18:29:00+00:00,4.7,2011-01-28 06:32:00+00:00,0.0,0.0,,11.8,2011-01-27 19:48:00+00:00,3.4,5.5,1440,909,128.7382,34.7877
2011-01-29,-2.3,-5.0,2011-01-28 22:19:00+00:00,1.7,2011-01-29 03:49:00+00:00,0.0,0.0,,12.4,2011-01-28 21:12:00+00:00,2.9,42.2,1440,909,128.7382,34.7877
2011-01-30,-3.9,-6.4,2011-01-29 20:16:00+00:00,-0.2,2011-01-30 06:02:00+00:00,0.0,0.0,,10.7,2011-01-30 03:42:00+00:00,2.8,317.7,1440,909,128.7382,34.7877
2011-01-31,-1.7,-6.4,2011-01-30 22:02:00+00:00,3.1,2011-01-31 06:28:00+00:00,0.0,0.0,,10.2,2011-01-30 15:15:00+00:00,2.9,326.2,1438,909,128.7382,34.7877
