dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2009-01-01,-1.1,-3.0,2008-12-31 22:27:00+00:00,1.7,2009-01-01 05:12:00+00:00,0.0,,,17.8,,7.3,331.9,1440,750,127.6256,34.6308
2009-01-02,2.2,-1.9,2009-01-01 16:54:00+00:00,6.5,2009-01-02 06:30:00+00:00,0.0,,,17.8,,6.0,331.9,1439,750,127.6256,34.6308
2009-01-03,3.8,0.4,2009-01-02 19:42:00+00:00,8.1,2009-01-03 05:50:00+00:00,0.0,,,8.6,,3.4,351.6,1438,750,127.6256,34.6308
2009-01-04,4.0,1.9,2009-01-03 17:59:00+00:00,7.1,2009-01-04 06:25:00+00:00,0.0,,,8.1,,3.4,284.1,1432,750,127.6256,34.6308
2009-01-05,3.5,0.7,2009-01-05 14:55:00+00:00,6.7,2009-01-05 05:53:00+00:00,0.0,,,17.6,,6.6,326.3,1440,750,127.6256,34.6308
2009-01-06,2.7,-0.8,2009-01-05 21:11:00+00:00,6.4,2009-01-06 07:11:00+00:00,0.0,,,8.3,,2.9,11.3,1423,750,127.6256,34.6308
2009-01-07,3.7,1.3,2009-01-06 22:49:00+00:00,7.3,2009-01-07 06:44:00+00:00,0.0,,,9.0,,3.3,343.1,1440,750,127.6256,34.6308
2009-01-08,,,,,,0.0,,,,,,,1045,750,127.6256,34.6308
2009-01-09,1.8,0.1,2009-01-08 15:00:00+00:00,4.6,2009-01-09 04:42:00+00:00,0.0,,,18.1,,7.4,329.1,1439,750,127.6256,34.6308
2009-01-10,-0.6,-1.7,2009-01-09 23:09:00+00:00,0.9,2009-01-10 05:22:00+00:00,0.0,,,21.1,,8.5,326.3,1440,750,127.6256,34.6308
2009-01-11,0.0,-3.4,2009-01-10 21:23:00+00:00,4.2,2009-01-11 05:05:00+00:00,0.0,,,18.9,,5.0,323.4,1440,750,127.6256,34.6308
2009-01-12,-0.8,-3.3,2009-01-11 21:27:00+00:00,1.4,2009-01-12 04:27:00+00:00,0.0,,,22.4,,9.7,329.1,1440,750,127.6256,34.6308
2009-01-13,-0.4,-3.5,2009-01-12 22:33:00+00:00,2.8,2009-01-13 06:24:00+00:00,0.0,,,15.5,,6.0,312.2,1440,750,127.6256,34.6308
2009-01-14,-0.3,-3.7,2009-01-14 14:19:00+00:00,2.5,2009-01-14 00:02:00+00:00,0.0,,,18.2,,6.9,317.8,1440,750,127.6256,34.6308
2009-01-15,-1.7,-5.1,2009-01-14 19:54:00+00:00,2.7,2009-01-15 06:15:00+00:00,0.0,,,17.7,,6.3,334.7,1440,750,127.6256,34.6308
2009-01-16,2.4,-2.2,2009-01-15 16:11:00+00:00,6.5,2009-01-16 05:41:00+00:00,0.0,,,9.8,,3.6,315.0,1439,750,127.6256,34.6308
2009-01-17,3.8,0.1,2009-01-16 21:37:00+00:00,6.8,2009-01-17 07:26:00+00:00,0.0,,,6.1,,1.8,39.4,1437,750,127.6256,34.6308
2009-01-18,6.0,3.6,2009-01-17 18:06:00+00:00,9.2,2009-01-18 08:39:00+00:00,3.0,,,12.1,,2.9,315.0,1440,750,127.6256,34.6308
2009-01-19,4.5,2.1,2009-01-18 22:12:00+00:00,7.6,2009-01-19 06:10:00+00:00,0.0,,,11.7,,3.9,323.4,1440,750,127.6256,34.6308
2009-01-20,4.5,2.4,2009-01-19 22:43:00+00:00,7.4,2009-01-20 06:02:00+00:00,0.0,,,6.5,,1.7,309.4,1440,750,127.6256,34.6308
2009-01-21,4.3,3.0,2009-01-21 14:38:00+00:00,6.2,2009-01-21 04:28:00+00:00,0.0,,,5.6,,1.1,351.6,1440,750,127.6256,34.6308
2009-01-22,4.8,1.8,2009-01-21 21:28:00+00:00,8.1,2009-01-22 07:06:00+00:00,0.0,,,7.2,,2.0,323.4,1440,750,127.6256,34.6308
2009-01-23,-1.3,-5.8,2009-01-23 14:46:00+00:00,6.3,2009-01-22 15:49:00+00:00,0.0,,,21.5,,9.3,334.7,1440,750,127.6256,34.6308
2009-01-24,-3.2,-7.1,2009-01-23 18:34:00+00:00,-0.3,2009-01-24 05:07:00+00:00,0.0,,,15.4,,6.7,315.0,1436,750,127.6256,34.6308
2009-01-25,0.3,-2.4,2009-01-24 15:01:00+00:00,3.2,2009-01-25 05:21:00+00:00,0.0,,,11.6,,5.6,278.4,1440,750,127.6256,34.6308
2009-01-26,1.4,-0.8,2009-01-25 20:47:00+00:00,3.6,2009-01-26 05:51:00+00:00,0.0,,,16.0,,5.4,317.8,1440,750,127.6256,34.6308
2009-01-27,1.5,-1.8,2009-01-26 22:42:00+00:00,4.9,2009-01-27 05:55:00+00:00,0.0,,,8.1,,2.1,323.4,1440,750,127.6256,34.6308
2009-01-28,4.7,0.6,2009-01-27 22:36:00+00:00,9.9,2009-01-28 05:13:00+00:00,0.0,,,7.8,,2.4,95.6,1440,750,127.6256,34.6308
2009-01-29,5.9,3.8,2009-01-28 20:55:00+00:00,7.9,2009-01-29 04:27:00+00:00,2.0,,,7.3,,3.4,42.2,1440,750,127.6256,34.6308
2009-01-30,8.8,6.4,2009-01-29 19:22:00+00:00,10.2,2009-01-30 12:14:00+00:00,2.5,,,11.3,,3.4,36.6,1440,750,127.6256,34.6308
2009-01-31,9.0,7.0,2009-01-31 14:43:00+00:00,10.8,2009-01-31 05:56:00+00:00,0.0,,,8.0,,3.3,36.6,1440,750,127.6256,34.6308
2009-02-01,6.8,4.9,2009-01-31 22:14:00+00:00,10.3,2009-02-01 05:45:00+00:00,0.0,,,6.7,,2.7,50.6,1440,750,127.6256,34.6308
2009-02-02,7.6,3.7,2009-02-01 22:00:00+00:00,11.2,2009-02-02 04:53:00+00:00,0.0,,,5.4,,1.5,42.2,1440,750,127.6256,34.6308
2009-02-03,8.0,6.5,2009-02-02 20:31:00+00:00,10.0,2009-02-03 06:45:00+00:00,3.5,,,6.5,,1.8,33.8,1440,750,127.6256,34.6308
2009-02-04,8.4,5.1,2009-02-03 21:58:00+00:00,12.5,2009-02-04 05:38:00+00:00,0.0,,,7.6,,1.2,185.6,1440,750,127.6256,34.6308
2009-02-05,8.7,6.1,2009-02-04 23:14:00+00:00,13.3,2009-02-05 05:41:00+00:00,0.0,,,16.8,,4.6,329.1,1440,750,127.6256,34.6308
