dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2002-08-11,21.4,19.5,2002-08-10 20:25:00+00:00,23.9,2002-08-11 03:14:00+00:00,4.0,,,7.5,,2.9,46.3,1428,609,126.44,36.42
2002-08-11,20.8,18.6,2002-08-10 21:14:00+00:00,23.4,2002-08-11 04:29:00+00:00,13.5,,,6.7,,2.1,79.8,1418,610,126.63,36.58
2002-08-11,20.1,18.1,2002-08-11 14:40:00+00:00,24.0,2002-08-11 05:16:00+00:00,6.0,,,6.1,,1.7,71.4,1440,619,127.68,36.93
2002-08-11,21.3,19.9,2002-08-10 20:59:00+00:00,23.4,2002-08-11 06:19:00+00:00,5.0,,,4.7,,1.2,75.2,1434,618,126.78,36.42
2002-08-11,16.5,15.5,2002-08-10 22:22:00+00:00,17.8,2002-08-11 12:40:00+00:00,17.5,,,15.0,,4.5,78.8,1440,659,127.25,36.4167
2002-08-11,18.7,16.1,2002-08-11 14:13:00+00:00,21.1,2002-08-11 04:38:00+00:00,3.0,,,8.2,,2.1,7.9,1434,661,128.4,38.5333
2002-08-11,21.5,18.9,2002-08-11 14:54:00+00:00,26.4,2002-08-11 07:36:00+00:00,2.5,,,4.3,,1.3,257.9,1435,680,127.8458,38.21
2002-08-11,18.4,,,,,,,,,,,,144,681,127.8139,38.2414
2002-08-11,13.8,,,,,,,,,,,,128,682,127.8647,38.2806
2002-08-11,23.9,21.5,2002-08-10 21:07:00+00:00,28.1,2002-08-11 04:05:00+00:00,0.5,,,8.1,,2.5,268.4,1397,698,126.2851,35.0938
2002-08-11,23.1,21.0,2002-08-10 17:56:00+00:00,26.7,2002-08-11 04:47:00+00:00,5.5,,,7.0,,1.6,202.2,1433,699,126.4833,35.01
2002-08-11,21.8,,,,,1.5,,,,,,,1042,700,125.9682,36.1251
2002-08-11,21.3,19.1,2002-08-10 18:04:00+00:00,25.1,2002-08-11 04:08:00+00:00,16.0,,,4.1,,0.8,9.8,1432,701,127.67,36.0
2002-08-11,22.5,20.4,2002-08-10 20:37:00+00:00,25.6,2002-08-11 04:25:00+00:00,10.5,,,4.3,,1.1,268.8,1425,702,126.9943,35.9385
2002-08-11,19.9,17.9,2002-08-10 18:04:00+00:00,22.2,2002-08-11 05:43:00+00:00,10.5,,,4.8,,1.1,72.8,1427,703,127.3783,35.7702
2002-08-11,23.5,21.4,2002-08-10 16:56:00+00:00,25.7,2002-08-11 07:08:00+00:00,1.0,,,6.8,,2.5,250.9,1429,704,126.463,35.6351
