dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
1999-01-01,-3.0,-8.5,1998-12-31 23:10:00+00:00,4.0,1999-01-01 05:43:00+00:00,0.0,,,4.9,,0.3,270.4,0,643,127.49,36.34
1999-01-02,2.0,-2.6,1999-01-01 15:01:00+00:00,8.2,1999-01-02 04:40:00+00:00,0.0,,,9.9,,0.8,344.0,0,643,127.49,36.34
1999-01-03,0.0,-4.0,1999-01-03 14:55:00+00:00,8.1,1999-01-03 05:47:00+00:00,0.0,,,4.1,,0.2,322.9,0,643,127.49,36.34
1999-01-04,-0.7,-6.5,1999-01-03 21:49:00+00:00,9.3,1999-01-04 05:28:00+00:00,0.0,,,2.7,,0.2,323.3,0,643,127.49,36.34
1999-01-05,-0.3,-6.8,1999-01-04 22:17:00+00:00,10.0,1999-01-05 06:46:00+00:00,0.0,,,3.1,,0.1,328.0,0,643,127.49,36.34
1999-01-06,1.7,-2.3,1999-01-05 21:14:00+00:00,8.2,1999-01-06 04:08:00+00:00,0.0,,,11.5,,0.7,344.0,0,643,127.49,36.34
1999-01-07,-3.8,-7.0,1999-01-07 14:18:00+00:00,-0.2,1999-01-06 18:58:00+00:00,0.0,,,12.9,,2.9,343.0,0,643,127.49,36.34
1999-01-08,-8.1,-12.1,1999-01-07 22:17:00+00:00,-3.8,1999-01-08 04:17:00+00:00,0.0,,,11.3,,2.2,321.0,0,643,127.49,36.34
1999-01-09,-8.4,-14.0,1999-01-08 22:29:00+00:00,-3.2,1999-01-09 05:01:00+00:00,0.0,,,12.3,,1.7,341.2,0,643,127.49,36.34
1999-01-10,-6.4,-11.7,1999-01-09 22:59:00+00:00,-1.1,1999-01-10 06:23:00+00:00,0.0,,,10.6,,1.7,333.2,0,643,127.49,36.34
1999-01-11,-4.1,-9.8,1999-01-10 22:56:00+00:00,0.9,1999-01-11 06:03:00+00:00,0.0,,,9.8,,1.5,334.1,0,643,127.49,36.34
1999-01-12,-4.0,-10.0,1999-01-11 21:40:00+00:00,1.1,1999-01-12 06:11:00+00:00,0.0,,,7.3,,1.2,277.4,0,643,127.49,36.34
1999-01-13,-2.0,-5.9,1999-01-13 14:39:00+00:00,3.1,1999-01-13 06:04:00+00:00,0.0,,,7.6,,1.0,301.8,0,643,127.49,36.34
1999-01-14,-1.9,-6.3,1999-01-13 17:02:00+00:00,3.3,1999-01-14 06:31:00+00:00,0.0,,,6.2,,0.7,336.5,0,643,127.49,36.34
1999-01-15,-2.3,-6.0,1999-01-14 19:30:00+00:00,1.8,1999-01-15 05:10:00+00:00,0.0,,,7.5,,0.5,314.4,0,643,127.49,36.34
1999-01-16,-0.7,-6.8,1999-01-16 14:50:00+00:00,5.5,1999-01-16 05:27:00+00:00,0.0,,,9.6,,0.7,316.3,0,643,127.49,36.34
1999-01-17,-2.7,-10.7,1999-01-16 22:53:00+00:00,5.5,1999-01-17 05:48:00+00:00,0.0,,,5.7,,0.3,290.1,0,643,127.49,36.34
1999-01-18,-0.3,-7.4,1999-01-17 22:43:00+00:00,9.0,1999-01-18 06:19:00+00:00,0.0,,,4.8,,0.4,321.9,0,643,127.49,36.34
1999-01-19,3.8,-0.7,1999-01-18 15:01:00+00:00,9.5,1999-01-19 06:35:00+00:00,0.0,,,7.1,,1.0,306.9,0,643,127.49,36.34
1999-01-20,-1.3,-4.0,1999-01-20 14:55:00+00:00,2.6,1999-01-20 06:42:00+00:00,0.0,,,12.3,,2.3,337.8,0,643,127.49,36.34
1999-01-21,-1.8,-8.2,1999-01-20 21:38:00+00:00,5.1,1999-01-21 06:04:00+00:00,0.0,,,9.0,,0.7,180.4,0,643,127.49,36.34
1999-01-22,3.1,-1.5,1999-01-22 14:59:00+00:00,10.1,1999-01-22 05:36:00+00:00,0.0,,,8.4,,0.5,177.6,0,643,127.49,36.34
1999-01-23,4.3,-2.4,1999-01-22 16:50:00+00:00,8.7,1999-01-23 06:46:00+00:00,0.0,,,12.1,,0.7,146.2,0,643,127.49,36.34
1999-01-24,6.6,2.1,1999-01-24 14:47:00+00:00,12.6,1999-01-24 05:22:00+00:00,0.0,,,7.3,,0.4,147.1,0,643,127.49,36.34
1999-01-25,5.4,0.2,1999-01-24 15:00:00+00:00,9.6,1999-01-25 03:08:00+00:00,0.5,,,10.0,,1.1,312.6,0,643,127.49,36.34
1999-01-26,1.4,-5.1,1999-01-25 22:06:00+00:00,8.9,1999-01-26 05:10:00+00:00,0.0,,,9.1,,0.9,174.2,0,643,127.49,36.34
1999-01-27,3.4,-2.4,1999-01-26 22:45:00+00:00,11.0,1999-01-27 04:35:00+00:00,0.0,,,11.8,,1.5,339.3,0,643,127.49,36.34
1999-01-28,-2.6,-7.2,1999-01-27 22:46:00+00:00,2.4,1999-01-28 05:32:00+00:00,0.0,,,10.5,,1.4,345.4,0,643,127.49,36.34
1999-01-29,-3.4,-8.3,1999-01-29 14:37:00+00:00,0.9,1999-01-29 04:26:00+00:00,0.0,,,11.3,,1.9,314.0,0,643,127.49,36.34
1999-01-30,-4.2,-8.8,1999-01-29 16:55:00+00:00,2.3,1999-01-30 06:48:00+00:00,0.0,,,7.0,,0.7,324.3,0,643,127.49,36.34
1999-01-31,-2.2,-10.3,1999-01-30 22:24:00+00:00,8.2,1999-01-31 06:52:00+00:00,0.0,,,4.1,,0.4,314.4,0,643,127.49,36.34
1999-02-01,0.0,-4.9,1999-01-31 19:30:00+00:00,7.5,1999-02-01 05:33:00+00:00,0.0,,,6.3,,0.7,348.2,0,643,127.49,36.34
1999-02-02,-3.8,-7.2,1999-02-02 14:59:00+00:00,-0.1,1999-02-02 03:06:00+00:00,1.0,,,12.6,,1.4,336.0,0,643,127.49,36.34
1999-02-03,-8.3,-13.8,1999-02-02 23:11:00+00:00,-2.7,1999-02-03 05:55:00+00:00,0.0,,,9.7,,2.0,330.4,0,643,127.49,36.34
1999-02-04,-6.0,-14.6,1999-02-03 22:16:00+00:00,0.4,1999-02-04 06:34:00+00:00,0.0,,,6.4,,0.6,258.7,0,643,127.49,36.34
1999-02-05,-1.7,-8.9,1999-02-04 21:47:00+00:00,4.7,1999-02-05 06:20:00+00:00,0.0,,,8.7,,1.0,325.2,0,643,127.49,36.34
1999-02-06,-1.0,-7.2,1999-02-05 21:58:00+00:00,7.1,1999-02-06 06:34:00+00:00,0.0,,,6.1,,0.7,235.7,0,643,127.49,36.34
1999-02-07,2.3,-5.2,1999-02-06 17:15:00+00:00,9.8,1999-02-07 06:00:00+00:00,0.0,,,7.0,,0.8,163.0,0,643,127.49,36.34
1999-02-08,4.2,-0.8,1999-02-07 17:58:00+00:00,11.8,1999-02-08 05:50:00+00:00,0.0,,,4.7,,0.5,304.1,0,643,127.49,36.34
1999-02-09,5.1,0.0,1999-02-08 22:41:00+00:00,11.5,1999-02-09 05:18:00+00:00,0.0,,,8.1,,1.1,308.8,0,643,127.49,36.34
1999-02-10,2.5,-2.5,1999-02-09 21:34:00+00:00,7.1,1999-02-10 05:31:00+00:00,0.0,,,6.2,,0.7,165.4,0,643,127.49,36.34
1999-02-11,1.3,-2.8,1999-02-10 22:45:00+00:00,7.4,1999-02-11 04:28:00+00:00,1.0,,,11.8,,1.0,257.3,0,643,127.49,36.34
1999-02-12,-3.3,-5.3,1999-02-12 12:15:00+00:00,-0.3,1999-02-12 06:03:00+00:00,0.0,,,16.9,,2.9,335.1,0,643,127.49,36.34
1999-02-13,-4.2,-10.6,1999-02-12 21:40:00+00:00,3.9,1999-02-13 06:07:00+00:00,0.0,,,7.5,,1.2,334.6,0,643,127.49,36.34
1999-02-14,0.4,-7.7,1999-02-13 21:03:00+00:00,8.0,1999-02-14 05:21:00+00:00,0.0,,,6.3,,0.8,198.2,0,643,127.49,36.34
1999-02-15,3.1,-2.0,1999-02-14 21:06:00+00:00,11.2,1999-02-15 05:10:00+00:00,0.0,,,9.3,,0.8,247.3,0,643,127.49,36.34
1999-02-16,3.5,-4.7,1999-02-15 22:09:00+00:00,12.3,1999-02-16 05:31:00+00:00,0.0,,,8.2,,0.7,288.6,0,643,127.49,36.34
1999-02-17,7.2,-0.7,1999-02-16 20:01:00+00:00,12.1,1999-02-17 05:30:00+00:00,0.5,,,8.2,,1.0,162.6,0,643,127.49,36.34
1999-02-18,4.5,-1.6,1999-02-18 13:03:00+00:00,10.3,1999-02-18 05:18:00+00:00,2.5,,,10.3,,1.7,341.6,0,643,127.49,36.34
1999-02-19,-0.2,-3.4,1999-02-18 15:00:00+00:00,5.1,1999-02-19 06:29:00+00:00,0.0,,,9.6,,1.7,300.4,0,643,127.49,36.34
1999-02-20,-1.4,-3.9,1999-02-19 22:32:00+00:00,3.0,1999-02-20 04:12:00+00:00,0.0,,,11.9,,2.0,330.9,0,643,127.49,36.34
1999-02-21,-1.3,-8.1,1999-02-20 21:58:00+00:00,4.7,1999-02-21 07:14:00+00:00,0.0,,,11.3,,2.0,343.0,0,643,127.49,36.34
1999-02-22,2.3,-4.6,1999-02-21 16:31:00+00:00,8.5,1999-02-22 06:23:00+00:00,0.0,,,10.1,,1.0,332.8,0,643,127.49,36.34
1999-02-23,3.7,-4.1,1999-02-22 22:14:00+00:00,9.1,1999-02-23 06:01:00+00:00,0.0,,,6.4,,0.5,342.5,0,643,127.49,36.34
1999-02-24,4.0,0.6,1999-02-23 23:31:00+00:00,6.9,1999-02-23 15:02:00+00:00,6.0,,,9.3,,0.5,126.9,0,643,127.49,36.34
1999-02-25,4.7,-1.0,1999-02-24 21:56:00+00:00,11.7,1999-02-25 06:06:00+00:00,0.0,,,5.0,,0.6,327.1,0,643,127.49,36.34
1999-02-26,3.1,0.5,1999-02-25 16:20:00+00:00,5.0,1999-02-26 06:30:00+00:00,2.0,,,4.6,,0.3,294.2,0,643,127.49,36.34
1999-02-27,-0.3,-3.6,1999-02-27 14:55:00+00:00,4.7,1999-02-26 16:40:00+00:00,0.0,,,13.2,,2.9,337.9,0,643,127.49,36.34
1999-02-28,-1.0,-8.4,1999-02-27 22:18:00+00:00,6.0,1999-02-28 05:15:00+00:00,0.0,,,8.1,,0.8,310.2,0,643,127.49,36.34
1999-03-01,5.9,-3.6,1999-02-28 15:59:00+00:00,11.8,1999-03-01 05:36:00+00:00,0.0,,,8.9,,1.2,303.7,0,643,127.49,36.34
1999-03-02,5.8,-0.4,1999-03-01 22:02:00+00:00,13.1,1999-03-02 05:53:00+00:00,0.0,,,5.8,,0.5,308.3,0,643,127.49,36.34
1999-03-03,6.4,-2.0,1999-03-02 19:19:00+00:00,15.7,1999-03-03 07:10:00+00:00,0.0,,,7.4,,0.8,237.5,0,643,127.49,36.34
1999-03-04,8.4,-0.6,1999-03-03 19:08:00+00:00,21.3,1999-03-04 07:27:00+00:00,0.0,,,7.4,,0.6,70.7,0,643,127.49,36.34
1999-03-05,8.3,-0.4,1999-03-05 14:59:00+00:00,14.1,1999-03-05 03:59:00+00:00,1.0,,,12.2,,1.7,296.2,0,643,127.49,36.34
1999-03-06,5.9,-2.1,1999-03-05 21:03:00+00:00,13.9,1999-03-06 05:50:00+00:00,0.0,,,9.5,,0.7,124.6,0,643,127.49,36.34
1999-03-07,4.2,-1.0,1999-03-07 14:43:00+00:00,9.1,1999-03-07 06:16:00+00:00,0.0,,,7.6,,1.3,331.8,0,643,127.49,36.34
1999-03-08,3.0,-2.0,1999-03-07 15:55:00+00:00,7.5,1999-03-08 02:59:00+00:00,0.0,,,7.8,,0.9,123.7,0,643,127.49,36.34
1999-03-09,2.3,-1.8,1999-03-08 15:51:00+00:00,8.4,1999-03-09 06:53:00+00:00,0.0,,,6.3,,0.5,317.2,0,643,127.49,36.34
1999-03-10,4.8,-1.4,1999-03-09 22:20:00+00:00,11.1,1999-03-10 04:25:00+00:00,0.0,,,7.0,,1.0,345.9,0,643,127.49,36.34
1999-03-11,3.1,-2.1,1999-03-10 22:36:00+00:00,9.8,1999-03-11 06:30:00+00:00,0.0,,,7.8,,0.8,320.5,0,643,127.49,36.34
1999-03-12,4.0,-2.8,1999-03-11 21:46:00+00:00,13.4,1999-03-12 07:04:00+00:00,0.0,,,5.8,,0.6,156.0,0,643,127.49,36.34
