dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
2013-03-11,4.0,-0.9,7.2,1653.0,519.0,,,,,,,,35.0,56.3,1021.0,2013.0,2.3,7.9,5.6,110.0,110.0,250.0,1602.0,1610.0,11.8,11.0,,,,0.0,0.0,-4.3,-4.8,4.5,,,,,,,,,,,,,,,4.7,1020.8,1023.0,1018.1,1027.2,2355.0,838.0,,,,,90,128.5647,38.2509
2013-03-11,0.9,-7.3,11.1,1502.0,646.0,,,,,,,,13.0,50.1,1646.0,973.0,1.1,6.2,3.9,180.0,230.0,20.0,1522.0,1547.0,11.8,10.8,,,,0.0,0.0,-10.1,-8.7,5.0,,2.6,1.8,1.0,0.1,1.5,2.5,,,,,,,,2.9,1005.3,1024.7,1020.9,1028.4,1715.0,815.0,,,3.1,,95,127.3042,38.1479
2013-03-11,3.8,-5.5,14.4,1502.0,633.0,,,,,,,,14.0,41.8,1449.0,1134.0,1.3,5.7,4.0,270.0,250.0,20.0,1826.0,1834.0,11.8,11.0,,,,,,-9.8,-6.5,4.7,,,,,,,,,,,,,,,3.0,1010.5,1024.1,1020.6,1027.5,1656.0,813.0,,,,,98,127.0607,37.9019
2013-03-11,2.1,-6.3,11.9,1658.0,629.0,,,,,,,,22.0,56.1,1346.0,1228.0,1.4,5.4,3.9,50.0,50.0,20.0,911.0,1006.0,11.8,11.1,,,,,,-6.9,-10.9,4.8,,,,,,,,,,,,,,,3.7,1021.0,1024.7,1021.7,1027.9,1654.0,806.0,,,,,99,126.7665,37.8859
2013-03-11,0.8,-8.5,9.3,1516.0,637.0,,,,,,,,18.0,45.6,1324.0,2431.0,2.8,10.1,6.8,270.0,250.0,250.0,2118.0,2017.0,11.8,11.2,2.93,21.18,1200.0,0.0,0.0,-10.8,-7.7,4.1,,,,,,,,,,,,,,,2.7,930.5,1023.5,1018.4,1028.9,1715.0,637.0,,,,,100,128.7183,37.6771
2013-03-11,2.3,-6.1,12.7,1632.0,702.0,,,,,,,,12.0,49.9,1635.0,798.0,0.9,4.6,2.6,230.0,200.0,200.0,1641.0,1704.0,11.8,10.7,2.98,21.15,1200.0,0.0,0.0,-9.2,-11.7,3.4,5.3,3.1,2.3,0.7,-0.1,1.0,3.7,16.0,12.0,,,,,,3.1,1014.9,1024.6,1020.6,1028.4,1719.0,813.0,,,3.3,,101,127.7357,37.9026
2013-03-11,2.0,-1.2,7.3,1516.0,649.0,,,,,,,,19.0,48.1,1110.0,2735.0,3.2,8.2,6.2,90.0,230.0,70.0,1016.0,2111.0,11.8,11.2,,,,0.0,0.0,-8.3,-1.4,4.5,,,,,,,,,,,,,,,3.3,1006.8,1025.0,1021.9,1028.1,2352.0,114.0,,,,,102,124.6305,37.9661
2013-03-11,4.4,-1.7,10.3,2335.0,408.0,,,,,,,,14.0,50.9,2334.0,1754.0,2.0,9.6,6.3,250.0,250.0,200.0,2342.0,2343.0,11.8,11.0,2.74,19.14,1200.0,0.0,0.0,-5.9,-7.7,6.5,5.1,6.0,6.2,5.9,5.8,5.7,5.1,12.5,8.7,,,,,,4.2,1013.3,1023.1,1018.8,1026.8,2347.0,813.0,,,4.2,,104,128.8554,37.8046
2013-03-11,5.4,-0.8,10.5,2330.0,503.0,,,,,,,,17.0,45.6,2242.0,2260.0,2.6,9.2,5.5,230.0,230.0,250.0,2344.0,2355.0,11.8,10.8,2.97,20.56,1200.0,,,-6.1,-5.7,8.3,6.8,7.3,7.5,7.3,7.4,7.4,6.4,13.1,9.8,,,,,,4.1,1020.0,1023.2,1019.4,1027.0,2240.0,823.0,,,,,105,128.891,37.7515
2013-03-11,4.9,-1.3,8.8,1459.0,442.0,,,,,,,,41.0,61.5,915.0,2174.0,2.5,10.6,7.0,140.0,140.0,200.0,1623.0,1627.0,11.8,10.9,,,,,,-2.1,-5.1,7.5,,,,,,,,,,,,,,,5.3,1018.3,1023.2,1019.4,1026.7,2359.0,802.0,,,,,106,129.1243,37.5071
