dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2005-01-01,-2.8,-6.0,2004-12-31 22:59:00+00:00,0.8,2005-01-01 06:38:00+00:00,0.0,,,17.9,,6.5,256.0,1440,553,128.4287,38.5038
2005-01-02,2.1,-2.2,2005-01-01 17:47:00+00:00,5.0,2005-01-02 13:21:00+00:00,0.0,,,22.6,,6.6,252.0,1440,553,128.4287,38.5038
2005-01-03,5.3,0.1,2005-01-02 15:00:00+00:00,8.3,2005-01-03 04:22:00+00:00,0.0,,,22.6,,4.9,208.9,1417,553,128.4287,38.5038
2005-01-04,-2.6,-4.8,2005-01-03 22:21:00+00:00,0.4,2005-01-04 02:53:00+00:00,0.0,,,18.2,,4.9,254.6,1437,553,128.4287,38.5038
2005-01-05,-0.6,-9.1,2005-01-05 02:18:00+00:00,2.5,2005-01-05 03:38:00+00:00,0.0,,,16.5,,4.0,274.8,1440,553,128.4287,38.5038
2005-01-06,3.0,-6.2,2005-01-06 03:14:00+00:00,5.8,2005-01-06 02:49:00+00:00,0.0,,,15.4,,5.2,250.2,1440,553,128.4287,38.5038
2005-01-07,0.0,-3.2,2005-01-07 14:44:00+00:00,3.8,2005-01-06 15:12:00+00:00,0.0,,,15.4,,4.9,306.4,1438,553,128.4287,38.5038
2005-01-08,-2.8,-14.2,2005-01-08 12:43:00+00:00,0.5,2005-01-08 03:12:00+00:00,0.0,,,15.2,,6.0,283.8,1423,553,128.4287,38.5038
2005-01-09,-5.8,-17.1,2005-01-08 15:50:00+00:00,-1.1,2005-01-09 06:46:00+00:00,0.0,,,14.0,,4.3,245.1,1440,553,128.4287,38.5038
2005-01-10,-4.3,-12.0,2005-01-10 12:24:00+00:00,-1.1,2005-01-10 05:02:00+00:00,0.0,,,18.2,,6.9,255.9,1438,553,128.4287,38.5038
2005-01-11,-4.2,-8.5,2005-01-11 12:13:00+00:00,0.5,2005-01-11 05:33:00+00:00,0.0,,,18.8,,8.1,258.8,1439,553,128.4287,38.5038
2005-01-12,-4.6,-8.2,2005-01-11 15:01:00+00:00,0.4,2005-01-12 06:40:00+00:00,0.0,,,18.1,,6.3,245.3,1439,553,128.4287,38.5038
2005-01-13,-2.8,-10.9,2005-01-13 03:40:00+00:00,1.0,2005-01-13 07:15:00+00:00,0.0,,,17.5,,6.2,246.4,1438,553,128.4287,38.5038
2005-01-14,-2.4,-18.0,2005-01-13 20:44:00+00:00,2.0,2005-01-14 02:12:00+00:00,0.0,,,11.1,,3.9,252.2,1436,553,128.4287,38.5038
2005-01-15,0.5,-3.2,2005-01-15 06:28:00+00:00,3.2,2005-01-15 02:57:00+00:00,6.5,,,12.3,,4.5,2.5,1437,553,128.4287,38.5038
2005-01-16,1.5,-0.3,2005-01-16 08:52:00+00:00,3.0,2005-01-16 05:04:00+00:00,3.0,,,21.3,,9.6,17.0,1438,553,128.4287,38.5038
2005-01-17,2.8,-0.6,2005-01-17 01:37:00+00:00,6.0,2005-01-17 03:32:00+00:00,0.0,,,12.3,,4.2,251.2,1423,553,128.4287,38.5038
2005-01-18,2.9,1.0,2005-01-17 20:18:00+00:00,6.3,2005-01-18 05:29:00+00:00,0.0,,,14.3,,4.4,221.8,1440,553,128.4287,38.5038
2005-01-19,-2.6,-27.7,2005-01-19 12:59:00+00:00,2.5,2005-01-18 15:03:00+00:00,0.0,,,22.7,,6.8,271.6,1439,553,128.4287,38.5038
