dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
2002-08-18,22.7,20.4,27.2,1431.0,146.0,,,,,0.5,,,70.0,86.8,1437.0,864.0,1.0,4.1,3.1,50.0,50.0,20.0,1216.0,1220.0,13.6,4.6,,,,7.5,3.5,20.4,19.7,26.4,,,,,,,,,,,,,,,23.9,1010.0,1012.0,1010.6,1013.3,208.0,2122.0,,,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1120.,90,128.5647,38.2509
2002-08-18,22.8,20.4,27.7,1525.0,153.0,,,,,,,,70.0,85.1,1531.0,864.0,1.0,3.3,2.7,50.0,360.0,360.0,2122.0,2019.0,13.6,0.4,,,,9.8,5.1,20.1,19.1,24.2,,24.1,24.0,23.6,23.3,23.3,21.5,,,,,,,,23.7,992.6,1010.2,1008.7,1011.7,1530.0,2321.0,,3.7,4.0,,95,127.3042,38.1479
2002-08-18,23.7,21.1,27.4,1512.0,243.0,0.5,0.5,0.2,2.83,0.5,,954.0,72.0,84.1,1444.0,864.0,1.0,4.8,2.9,50.0,360.0,20.0,1917.0,1658.0,13.6,0.0,,,,9.5,5.5,20.7,21.0,25.9,,,,,,,,,,,,,,,24.5,997.1,1009.9,1008.5,1011.1,1656.0,2324.0,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0740.  {비}0520-0530.  {비}0815-0850.  {비}0940-1120.  {소나기}1850-1915.,98,127.0607,37.9019
2002-08-18,24.2,21.6,27.8,1408.0,505.0,0.0,0.0,0.0,1.83,1.0,,,79.0,89.1,1342.0,1728.0,2.0,5.1,3.3,50.0,50.0,20.0,2015.0,2021.0,13.6,0.2,,,,9.6,5.8,22.2,21.3,24.9,,,,,,,,,,,,,,,26.9,1006.3,1009.7,1008.4,1010.8,1813.0,2338.0,,,,{비}1140-{비}{강도0}1200-1310. {비}1620-1640.,99,126.7665,37.8859
2002-08-18,17.5,16.3,21.3,1122.0,357.0,,,,,4.0,,,73.0,92.4,1121.0,1382.0,1.6,6.9,4.4,110.0,90.0,90.0,1614.0,1004.0,13.5,2.2,2.02,11.08,1000.0,9.5,8.6,16.3,15.9,20.1,,,,,,,,,,,,,,,18.5,917.7,1011.4,1009.9,1012.7,1401.0,2123.0,16.83,,,-{안개}-{시정(이상)}{0.1km}{안개}0140-{시정(이상)}{0.2km}{안개}0230-{안개}{강도1}0300-{시정(이상)}{0.5km}{안개}0330-{시정(이상)}{1km}{박무}0440-{시정(미만)}{1km}{안개}0530-{시정(미만)}{0.5km}{안개}0540-{안개}{강도1}0600-{시정(이상)}{0.5km}{안개}0810-{시정(이상)}{1km}{박무}0820-{박무}{강도0}0900-{박무}{강도0}1200-{시정(미만)}{1km}{안개}1440-{시정(미만)}{0.5km}{안개}1445-{안개}{강도1}1500-{시정(미만)}{0.2km}{안개}1530-{시정(미만)}{0.1km}{안개}1535-{안개}{강도2}1800-{안개}{강도2}2100-{안개}{강도2}2400-,100,128.7587,37.6869
2002-08-18,25.0,21.9,28.9,1530.0,542.0,0.0,0.0,0.0,0.33,0.0,,,57.0,71.9,1751.0,1123.0,1.3,7.6,3.3,360.0,20.0,20.0,2118.0,2005.0,13.6,0.1,1.36,8.74,1200.0,8.9,6.5,19.3,20.5,24.4,22.5,25.3,25.5,25.2,25.3,24.6,24.1,15.8,19.2,,,,,,22.4,1001.4,1010.0,1008.3,1011.7,1539.0,2335.0,,2.1,2.8,{비}1320-1340.,101,127.7357,37.9026
2002-08-18,22.2,21.1,25.5,1706.0,506.0,0.5,0.3,0.2,5.93,0.5,1348.0,1342.0,81.0,90.5,1709.0,1901.0,2.2,6.2,4.2,70.0,90.0,90.0,1019.0,1030.0,13.6,1.4,,,,9.4,6.3,20.6,20.9,23.2,,,,,,,,,,,,,,,24.3,991.4,1009.9,1008.8,1010.6,1747.0,2159.0,,,,{비}0718-0747. {비}0835-{비}{강도0}0900-1015. {비}1225-{비}{강도0}1500-1612. {박무}1735-{박무}{강도0}1800-{박무}{강도0}2100-2210.,102,124.6305,37.9661
2002-08-18,22.8,20.0,26.5,1302.0,529.0,,,,,0.5,,,61.0,80.9,1258.0,1123.0,1.3,5.6,3.5,50.0,20.0,20.0,1403.0,1501.0,13.5,6.8,2.68,18.53,1200.0,6.1,4.0,19.2,17.3,24.9,21.8,24.9,24.6,23.5,23.2,23.1,22.8,16.6,19.8,,,,,,22.2,1008.8,1011.8,1010.6,1013.1,157.0,2126.0,,3.0,3.6,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0830.,105,128.891,37.7515
2002-08-18,21.5,18.9,24.7,1411.0,518.0,,,,,0.0,,,75.0,85.5,1150.0,2419.0,2.8,6.0,5.0,20.0,20.0,20.0,1457.0,1513.0,13.5,9.5,,,,5.3,3.9,18.9,18.6,27.5,,,,,,,,,,,,,,,21.8,1007.7,1012.0,1010.9,1013.2,153.0,2108.0,,,,{박무}0520-{박무}{강도0}0600-{박무}{강도0}0900-0930.,106,129.1243,37.5071
2002-08-18,24.3,20.9,28.9,1355.0,2355.0,16.0,5.0,3.5,8.78,26.0,1902.0,1825.0,59.0,83.5,1401.0,864.0,1.0,6.0,3.3,90.0,70.0,50.0,2343.0,2349.0,13.5,1.4,2.82,11.73,1300.0,9.6,5.5,21.2,18.5,24.9,22.7,25.7,26.0,24.9,24.1,24.2,23.7,15.7,17.9,,,,,,25.2,999.6,1009.3,1007.8,1010.8,1609.0,2321.0,,1.7,3.3,{비}0130-{비}{강도0}0300-0442.  {부분강수}(S)1740-1812.  {소나기}1825-{소나기}{강도0}2100-{소나기}{강도0}2400-,108,126.9658,37.5714
