dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2017-01-01,9.3,7.5,2016-12-31 22:05:00+00:00,11.4,2017-01-01 06:43:00+00:00,0.0,,,7.0,,1.8,173.2,1440,305,126.9201,33.9862
2017-01-02,10.5,8.5,2017-01-02 14:56:00+00:00,13.6,2017-01-02 06:32:00+00:00,1.0,,,5.3,,1.1,162.7,1439,305,126.9201,33.9862
2017-01-03,7.5,5.5,2017-01-02 22:36:00+00:00,10.3,2017-01-03 05:40:00+00:00,0.0,,,8.1,,2.0,103.9,1440,305,126.9201,33.9862
2017-01-04,8.5,6.1,2017-01-03 15:03:00+00:00,11.1,2017-01-04 06:24:00+00:00,0.0,,,5.9,,1.7,105.1,1440,305,126.9201,33.9862
2017-01-05,10.2,8.7,2017-01-04 18:54:00+00:00,11.6,2017-01-05 08:24:00+00:00,0.0,,,16.0,,7.0,85.3,1396,305,126.9201,33.9862
2017-01-06,9.9,9.1,2017-01-05 22:58:00+00:00,10.7,2017-01-06 06:45:00+00:00,0.0,,,15.9,,7.9,109.3,1440,305,126.9201,33.9862
2017-01-07,9.7,8.8,2017-01-07 02:38:00+00:00,11.0,2017-01-07 11:08:00+00:00,3.5,,,11.8,,5.8,86.8,1440,305,126.9201,33.9862
2017-01-08,9.6,8.2,2017-01-08 14:30:00+00:00,11.6,2017-01-08 06:48:00+00:00,2.0,,,12.3,,5.1,100.4,1440,305,126.9201,33.9862
2017-01-09,6.8,4.4,2017-01-09 14:56:00+00:00,8.6,2017-01-08 15:01:00+00:00,0.0,,,16.7,,8.8,126.6,1440,305,126.9201,33.9862
2017-01-10,4.8,3.0,2017-01-10 14:52:00+00:00,6.1,2017-01-10 06:28:00+00:00,0.0,,,15.8,,8.7,114.7,1440,305,126.9201,33.9862
2017-01-11,2.8,0.6,2017-01-11 01:18:00+00:00,4.7,2017-01-11 13:00:00+00:00,0.0,,,13.6,,6.5,103.5,1440,305,126.9201,33.9862
2017-01-12,5.8,3.5,2017-01-11 19:14:00+00:00,8.3,2017-01-12 03:02:00+00:00,0.0,,,10.4,,3.5,120.0,1438,305,126.9201,33.9862
2017-01-13,4.5,1.4,2017-01-13 13:54:00+00:00,8.6,2017-01-13 05:38:00+00:00,0.0,,,16.6,,6.3,113.5,1440,305,126.9201,33.9862
2017-01-14,1.0,-1.1,2017-01-14 10:16:00+00:00,2.6,2017-01-13 17:21:00+00:00,0.0,,,18.2,,10.6,123.8,1440,305,126.9201,33.9862
2017-01-15,0.9,-2.3,2017-01-14 20:00:00+00:00,3.6,2017-01-15 06:20:00+00:00,0.0,,,14.9,,7.8,115.2,1440,305,126.9201,33.9862
2017-01-16,3.1,1.6,2017-01-15 15:01:00+00:00,5.0,2017-01-16 06:35:00+00:00,0.0,,,12.2,,5.2,84.3,1437,305,126.9201,33.9862
2017-01-17,5.3,1.8,2017-01-16 15:03:00+00:00,7.7,2017-01-17 01:33:00+00:00,0.0,,,6.2,,1.4,84.3,1440,305,126.9201,33.9862
2017-01-18,5.9,4.0,2017-01-17 22:19:00+00:00,7.8,2017-01-18 03:44:00+00:00,0.0,,,10.2,,3.4,92.9,1437,305,126.9201,33.9862
2017-01-19,5.2,3.6,2017-01-19 13:12:00+00:00,6.6,2017-01-19 03:54:00+00:00,0.0,,,8.3,,2.6,150.2,1440,305,126.9201,33.9862
2017-01-20,2.4,0.3,2017-01-20 03:26:00+00:00,7.0,2017-01-19 17:42:00+00:00,0.5,,,19.9,,9.2,112.1,1440,305,126.9201,33.9862
2017-01-21,3.1,0.6,2017-01-20 18:53:00+00:00,5.6,2017-01-21 14:17:00+00:00,0.0,,,13.4,,4.2,99.5,1440,305,126.9201,33.9862
2017-01-22,1.9,0.1,2017-01-22 14:52:00+00:00,5.3,2017-01-21 15:14:00+00:00,0.0,,,16.6,,9.5,118.6,1440,305,126.9201,33.9862
2017-01-23,0.4,-0.6,2017-01-22 23:53:00+00:00,1.3,2017-01-23 05:50:00+00:00,0.0,,,15.8,,8.8,124.3,1440,305,126.9201,33.9862
2017-01-24,1.6,0.1,2017-01-23 15:29:00+00:00,3.3,2017-01-24 06:40:00+00:00,0.0,,,12.8,,6.7,127.2,1440,305,126.9201,33.9862
2017-01-25,1.9,0.2,2017-01-24 18:28:00+00:00,4.1,2017-01-25 05:40:00+00:00,0.0,,,10.5,,4.3,91.6,1430,305,126.9201,33.9862
