dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
1988-08-16,24.3,22.1,28.1,1309.0,610.0,3.9,2.5,1.3,4.42,11.2,510.0,450.0,76.0,87.3,1234.0,1999.0,2.3,8.3,6.5,50.0,50.0,270.0,2035.0,2040.0,13.6,0.8,,,,10.0,5.9,22.1,21.0,26.7,21.1,26.8,26.9,26.7,26.3,25.9,23.0,13.8,17.5,,,,,,26.5,1008.9,1008.9,1007.6,1010.5,1830.0,0.0,,2.2,2.7,{소나기}0310-{소나기}{강도0}0600-0620.  {비}2030-{비}{강도0}2100-2145.{박무}2110-2210.,90,128.5647,38.2509
1988-08-16,27.9,22.9,33.4,1445.0,530.0,,,,,,,,42.0,63.3,1448.0,1754.0,2.0,7.0,3.7,140.0,140.0,360.0,1453.0,1510.0,13.7,4.8,3.08,17.18,1000.0,6.5,6.1,19.8,22.1,33.1,,30.8,30.2,29.4,28.8,,,,,,,,,,23.2,1004.2,1004.2,1001.6,1006.2,1630.0,0.0,,,5.1,,95,127.3042,38.1479
1988-08-16,19.2,17.6,20.1,1320.0,40.0,40.8,8.6,3.2,20.83,27.6,1640.0,1620.0,92.0,94.5,0.0,1493.0,1.7,8.7,4.8,90.0,90.0,70.0,710.0,710.0,13.6,0.0,0.2,1.17,1115.0,10.0,9.0,18.4,17.2,19.8,17.8,19.8,20.0,20.1,20.1,20.3,19.7,,,,,,,,21.1,915.5,1008.8,1007.3,1010.1,1810.0,0.0,24.0,0.1,0.2,{안개비}0030-{비}0130-{안개비}0226-{안개비}{강도2}0300-{비}0350-{안개비}0520-{안개비}{강도2}0600-{비}0603-{안개비}0736-{비}0810-{비}{강도0}0900-{소나기}0936-{비}1021-{소나기}1131-{소나기}{강도1}1200-{비}1220-{비}{강도0}1500-{소나기}1620-{소나기}{강도1}1800-{안개비}1910-{안개비}{강도2}2100-2120.  -{시정(미만)}{0.5km}{낮은안개}0140-{낮은안개}{강도1}0300-{낮은안개}{강도1}0600-{시정(미만)}{0.2km}{낮은안개}0750-{낮은안개}{강도2}0900-{낮은안개}{강도2}1200-{낮은안개}{강도2}1500-{낮은안개}{강도2}1800-{낮은안개}{강도2}2100-{낮은안개}{강도2}{낮은안개}{강도2}2400-,100,128.7587,37.6869
1988-08-16,26.0,21.5,31.0,1624.0,543.0,,,,,,,,54.0,74.3,1630.0,1432.0,1.7,7.3,3.3,70.0,20.0,340.0,1553.0,1300.0,13.6,4.3,2.12,12.97,1500.0,6.0,5.9,20.9,20.9,30.0,24.1,29.6,30.4,30.3,30.1,29.0,26.3,16.0,19.1,,,,,,24.7,998.7,1007.2,1004.5,1009.0,1806.0,0.0,,3.0,4.0,,101,127.7357,37.9026
1988-08-16,24.3,22.4,27.1,1205.0,330.0,13.5,5.6,3.3,14.02,0.8,302.0,357.0,78.0,90.8,1345.0,831.0,1.0,5.4,2.5,50.0,50.0,360.0,1215.0,1200.0,13.6,0.2,1.5,2.65,1100.0,10.0,4.4,22.6,21.6,25.1,21.5,25.4,26.0,26.6,26.0,25.9,23.5,14.3,17.4,,,,,,27.5,1006.0,1009.1,1007.7,1010.9,1810.0,0.0,,0.5,0.8,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-  -{안개비}-{소나기}0045-{소나기}{강도0}0300-{소나기}{강도0}0600-0647.  {소나기}0808-{소나기}{강도0}0900-1020.  {소나기}1103-{소나기}{강도0}1200-1220.  {소나기}1520-{소나기}{강도0}1800-1905.,105,128.891,37.7515
1988-08-16,28.0,25.3,32.8,1311.0,540.0,3.2,3.2,1.3,0.77,3.2,1711.0,1703.0,52.0,66.8,1250.0,2082.0,2.4,9.0,4.3,70.0,70.0,70.0,1708.0,1713.0,13.6,6.7,3.0,15.59,1130.0,8.3,5.3,21.1,24.2,33.3,22.8,32.0,31.9,31.0,29.8,27.3,24.9,15.0,17.4,,,,,,25.1,996.8,1006.6,1004.5,1008.4,1630.0,0.0,,3.8,5.6,{비}0845-0850. {소나기}1501-1503. {소나기}1703-1726. {소나기}1742-1758,108,126.9658,37.5714
1988-08-16,28.3,25.4,33.2,1355.0,620.0,1.3,1.3,1.3,0.35,1.3,1726.0,,55.0,69.3,1353.0,2683.0,3.1,10.6,5.8,90.0,70.0,70.0,1620.0,1630.0,13.6,6.6,2.54,14.81,1000.0,6.3,3.6,22.1,22.4,30.6,22.0,30.6,30.4,29.7,28.6,27.3,24.5,15.2,18.0,,,,,,26.5,998.6,1006.5,1004.1,1007.9,1712.0,921.0,,3.3,5.2,{소나기}0946-0949.  {소나기}1720-1738.  {천둥}{강도0}(SE)1614-{천둥}{강도0}(SE{이동}S)1622.,112,126.6244,37.4776
1988-08-16,26.1,21.4,31.4,1430.0,700.0,1.4,1.1,0.6,1.97,1.4,2050.0,2042.0,52.0,74.8,1412.0,482.0,0.6,5.6,3.0,90.0,90.0,140.0,1720.0,1720.0,13.6,4.1,2.04,11.4,1300.0,8.0,6.0,21.0,19.8,29.1,23.3,28.9,29.0,28.8,28.1,26.7,25.4,14.9,18.0,,,,,,24.9,990.0,1006.9,1004.7,1008.3,1720.0,0.0,,2.6,5.1,{소나기}1610-1630.  {소나기}2042-{소나기}{강도0}2100-2110.  {소나기}2220-2330.,114,127.9466,37.3375
1988-08-16,24.4,20.9,29.2,1505.0,600.0,0.2,0.2,0.2,0.12,0.2,903.0,,66.0,79.8,1230.0,,5.0,9.4,6.3,140.0,140.0,,1220.0,300.0,,,,,,5.8,,20.6,,,,,,,,,,,,,,,,,24.4,952.9,,,,,,,,3.4,,116,126.9639,37.4442
1988-08-16,27.7,24.1,32.4,1453.0,546.0,0.2,0.2,0.2,0.37,0.2,1140.0,,58.0,70.8,1449.0,1880.0,2.2,8.3,5.0,110.0,140.0,90.0,1618.0,1630.0,13.6,7.4,2.23,11.25,1130.0,7.5,5.0,21.8,19.4,28.3,20.8,27.8,27.8,28.1,27.5,26.7,23.7,12.8,16.2,,,,,,26.2,1002.0,1006.3,1004.4,1007.9,1600.0,0.0,,3.1,4.6,{소나기}1128-1150.,119,126.9853,37.2723
