dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2002-06-21,21.2,,,,,0.0,,,,,,,918,665,126.4167,37.3833
2002-06-21,22.4,16.6,2002-06-20 19:47:00+00:00,29.5,2002-06-21 05:27:00+00:00,0.0,,,7.5,,1.2,1.5,1432,611,127.27,36.57
2002-06-21,22.4,18.1,2002-06-20 19:52:00+00:00,26.9,2002-06-21 09:22:00+00:00,0.0,,,6.8,,1.6,292.2,1405,614,126.7,36.05
2002-06-21,22.6,19.0,2002-06-20 20:43:00+00:00,26.8,2002-06-21 03:01:00+00:00,0.0,,,8.2,,1.4,345.8,1438,634,126.8858,36.8664
2002-06-21,20.2,15.9,2002-06-20 18:46:00+00:00,23.7,2002-06-21 03:12:00+00:00,0.0,,,9.8,,2.6,0.0,1358,649,126.08,37.285
2002-06-21,24.1,18.9,2002-06-20 20:32:00+00:00,30.8,2002-06-21 07:11:00+00:00,0.0,,,6.8,,1.3,99.8,1434,652,127.0781,38.0265
2002-06-21,24.4,18.3,2002-06-20 19:20:00+00:00,31.9,2002-06-21 07:41:00+00:00,0.0,,,8.7,,1.7,120.3,1429,680,127.8458,38.21
2002-06-21,21.0,,,,,,,,,,,,144,681,127.8139,38.2414
2002-06-21,14.6,,,,,,,,,,,,144,682,127.8647,38.2806
2002-06-21,22.6,20.6,2002-06-20 21:09:00+00:00,26.1,2002-06-21 02:53:00+00:00,0.0,,,8.0,,3.1,346.7,1391,698,126.2851,35.0938
2002-06-21,23.9,20.1,2002-06-21 14:45:00+00:00,28.9,2002-06-21 03:23:00+00:00,0.0,,,8.3,,2.0,313.7,1435,699,126.4833,35.01
2002-06-21,20.0,18.0,2002-06-20 20:38:00+00:00,22.1,2002-06-21 07:12:00+00:00,0.0,,,8.6,,4.0,344.6,1438,700,125.9682,36.1251
2002-06-21,23.1,17.4,2002-06-20 20:29:00+00:00,29.9,2002-06-21 05:37:00+00:00,0.0,,,7.9,,1.6,292.1,1427,701,127.67,36.0
2002-06-21,23.9,19.5,2002-06-20 20:01:00+00:00,29.0,2002-06-21 07:17:00+00:00,0.0,,,6.1,,1.8,245.2,1424,702,126.9943,35.9385
2002-06-21,20.8,15.5,2002-06-20 19:06:00+00:00,27.1,2002-06-21 04:15:00+00:00,0.0,,,6.6,,1.2,294.3,1424,703,127.3783,35.7702
2002-06-21,21.6,19.6,2002-06-20 21:27:00+00:00,23.9,2002-06-21 04:15:00+00:00,0.0,,,4.1,,0.4,14.1,1430,704,126.463,35.6351
2002-06-21,23.6,18.9,2002-06-20 20:25:00+00:00,28.9,2002-06-21 07:02:00+00:00,0.0,,,6.3,,1.7,315.4,1427,706,126.9731,35.3114
2002-06-21,23.1,20.7,2002-06-20 20:44:00+00:00,26.3,2002-06-21 04:10:00+00:00,0.0,,,7.5,,2.1,318.1,1420,707,126.2076,35.0612
2002-06-21,24.2,19.2,2002-06-20 20:39:00+00:00,31.0,2002-06-21 05:26:00+00:00,0.0,,,8.0,,2.4,319.2,1407,708,126.7333,35.1167
2002-06-21,25.3,18.5,2002-06-20 20:34:00+00:00,32.7,2002-06-21 05:52:00+00:00,0.0,,,6.1,,1.2,351.0,1431,709,127.4333,35.1833
2002-06-21,24.4,20.4,2002-06-20 20:05:00+00:00,30.8,2002-06-21 04:36:00+00:00,0.0,,,7.0,,1.0,248.4,1418,710,126.7167,35.0167
2002-06-21,24.0,18.5,2002-06-21 14:56:00+00:00,30.5,2002-06-21 04:30:00+00:00,0.0,,,6.5,,1.8,352.3,1420,711,126.9886,34.8879
2002-06-21,24.7,19.9,2002-06-20 20:46:00+00:00,29.4,2002-06-21 04:11:00+00:00,0.0,,,6.8,,1.9,346.1,1415,712,127.4875,34.9506
2002-06-21,25.7,20.2,2002-06-20 19:54:00+00:00,31.2,2002-06-21 04:56:00+00:00,0.0,,,6.3,,1.3,242.5,1434,713,127.5829,34.976
2002-06-21,21.4,20.0,2002-06-20 19:26:00+00:00,24.6,2002-06-21 04:09:00+00:00,0.0,,,8.7,,2.9,340.3,1402,714,126.0474,34.8845
2002-06-21,22.3,17.4,2002-06-21 14:56:00+00:00,26.8,2002-06-21 05:16:00+00:00,0.0,,,6.8,,2.0,297.1,1421,715,126.2687,34.4795
2002-06-21,22.2,19.8,2002-06-21 14:32:00+00:00,26.4,2002-06-21 04:36:00+00:00,0.0,,,7.6,,2.3,317.3,1416,716,126.0366,34.6069
2002-06-21,21.8,17.0,2002-06-21 14:55:00+00:00,26.8,2002-06-21 04:52:00+00:00,0.0,,,7.5,,2.0,9.7,1423,717,126.1902,34.4064
2002-06-21,21.7,18.2,2002-06-21 14:59:00+00:00,26.5,2002-06-21 04:58:00+00:00,0.0,,,6.0,,1.4,346.2,1407,718,126.0473,34.2966
2002-06-21,21.0,19.3,2002-06-20 19:35:00+00:00,23.1,2002-06-21 01:32:00+00:00,0.0,,,9.6,,3.0,30.9,1428,719,126.4,35.82
2002-06-21,23.7,20.5,2002-06-21 14:12:00+00:00,28.5,2002-06-21 05:20:00+00:00,0.0,,,5.5,,2.2,309.9,1414,720,126.5544,34.1678
2002-06-21,22.0,18.7,2002-06-20 20:57:00+00:00,26.9,2002-06-21 02:30:00+00:00,0.0,,,6.1,,1.8,195.3,1433,721,127.0298,34.349
2002-06-21,22.7,17.4,2002-06-21 14:23:00+00:00,29.2,2002-06-21 06:03:00+00:00,0.0,,,6.0,,1.1,303.1,1416,770,126.83,34.93
2002-06-21,22.5,19.5,2002-06-21 13:08:00+00:00,26.2,2002-06-21 05:39:00+00:00,0.0,,,9.1,,2.7,4.9,1420,771,126.12,34.75
2002-06-21,23.9,20.7,2002-06-21 14:07:00+00:00,29.0,2002-06-21 05:02:00+00:00,0.0,,,9.1,,3.4,283.0,1423,772,126.3454,34.4858
2002-06-21,24.9,20.2,2002-06-21 14:56:00+00:00,30.9,2002-06-21 05:48:00+00:00,0.0,,,8.6,,1.3,245.2,1401,773,126.5718,34.6993
2002-06-21,23.2,18.8,2002-06-21 14:59:00+00:00,28.1,2002-06-21 04:07:00+00:00,0.0,,,9.1,,0.9,349.6,1423,774,126.5021,34.9308
2002-06-21,23.5,19.4,2002-06-21 14:45:00+00:00,29.7,2002-06-21 04:47:00+00:00,0.0,,,7.6,,1.3,328.1,1428,775,126.6322,35.1801
2002-06-21,23.3,17.7,2002-06-21 14:52:00+00:00,30.0,2002-06-21 05:19:00+00:00,0.0,,,8.4,,2.1,350.9,1426,776,126.5534,34.4602
2002-06-21,24.0,19.2,2002-06-20 20:31:00+00:00,30.2,2002-06-21 07:24:00+00:00,0.0,,,7.8,,2.1,135.8,1419,777,126.8883,34.4994
2002-06-21,22.0,16.7,2002-06-21 14:54:00+00:00,28.5,2002-06-21 06:02:00+00:00,0.0,,,6.8,,1.1,223.9,1414,778,126.88,34.78
2002-06-21,23.3,20.1,2002-06-21 14:47:00+00:00,26.7,2002-06-21 01:41:00+00:00,0.0,,,6.7,,1.9,62.2,1419,779,126.2673,33.4105
2002-06-21,21.7,18.6,2002-06-20 19:43:00+00:00,25.7,2002-06-21 03:41:00+00:00,0.0,,,3.8,,1.3,133.6,1424,780,126.7208,33.28
2002-06-21,23.6,21.2,2002-06-21 13:01:00+00:00,27.5,2002-06-21 03:30:00+00:00,0.0,,,6.1,,2.7,338.4,1435,781,126.8519,33.5226
2002-06-21,18.1,13.3,2002-06-21 12:51:00+00:00,23.3,2002-06-21 04:45:00+00:00,0.0,,,6.0,,1.7,52.9,1432,782,126.6194,33.3845
2002-06-21,24.8,20.6,2002-06-20 21:35:00+00:00,30.6,2002-06-21 05:30:00+00:00,0.0,,,7.6,,2.1,299.2,1434,783,126.81,35.19
2002-06-21,23.9,20.1,2002-06-21 14:52:00+00:00,30.2,2002-06-21 04:26:00+00:00,0.0,,,8.1,,1.7,289.0,1413,784,126.6071,34.8686
