dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
2001-01-01,-2.4,-8.3,2001-01-01 00:46:00+00:00,2.5,2001-01-01 02:26:00+00:00,0.0,,,18.0,,7.6,291.9,1384,160,129.0,35.1188
2001-01-02,0.8,-2.6,2001-01-02 14:16:00+00:00,5.2,2001-01-02 04:12:00+00:00,0.0,,,20.5,,6.9,306.7,1404,160,129.0,35.1188
2001-01-03,-4.2,-7.0,2001-01-03 02:57:00+00:00,-1.0,2001-01-03 06:03:00+00:00,0.0,,,13.0,,5.4,284.0,1430,160,129.0,35.1188
2001-01-04,-6.1,-10.0,2001-01-04 01:23:00+00:00,-1.6,2001-01-04 04:46:00+00:00,0.0,,,22.2,,8.5,297.0,1414,160,129.0,35.1188
2001-01-05,-5.0,-9.1,2001-01-05 01:18:00+00:00,-0.4,2001-01-05 05:14:00+00:00,0.0,,,20.4,,8.4,287.6,1413,160,129.0,35.1188
2001-01-06,-1.2,-6.8,2001-01-05 19:55:00+00:00,2.9,2001-01-06 04:47:00+00:00,0.0,,,18.7,,6.5,287.0,1426,160,129.0,35.1188
2001-01-07,3.0,-1.6,2001-01-06 20:04:00+00:00,4.6,2001-01-07 04:47:00+00:00,11.0,,,24.4,,10.7,92.7,1409,160,129.0,35.1188
2001-01-08,2.7,-2.4,2001-01-08 11:36:00+00:00,5.3,2001-01-08 05:49:00+00:00,0.0,,,16.6,,7.3,355.2,1422,160,129.0,35.1188
2001-01-09,3.0,-1.0,2001-01-09 14:54:00+00:00,6.5,2001-01-09 06:57:00+00:00,5.5,,,21.8,,7.9,296.6,1375,160,129.0,35.1188
2001-01-10,-2.3,-4.7,2001-01-09 22:56:00+00:00,0.7,2001-01-10 06:49:00+00:00,0.0,,,21.7,,9.1,297.6,1431,160,129.0,35.1188
2001-01-11,-2.3,-5.8,2001-01-11 14:47:00+00:00,1.2,2001-01-11 05:04:00+00:00,0.0,,,16.5,,7.1,262.9,1412,160,129.0,35.1188
2001-01-12,-6.0,-10.2,2001-01-12 01:39:00+00:00,-2.2,2001-01-12 06:07:00+00:00,0.0,,,14.9,,7.8,285.6,1343,160,129.0,35.1188
2001-01-13,-5.4,-9.0,2001-01-13 02:20:00+00:00,-2.4,2001-01-12 20:34:00+00:00,0.0,,,15.7,,7.3,291.1,1410,160,129.0,35.1188
2001-01-14,-11.0,-13.8,2001-01-14 14:54:00+00:00,-6.7,2001-01-14 04:58:00+00:00,0.0,,,19.1,,7.2,277.9,1423,160,129.0,35.1188
2001-01-15,-12.0,-15.4,2001-01-14 21:53:00+00:00,-7.4,2001-01-15 05:07:00+00:00,0.0,,,16.0,,6.6,291.6,1423,160,129.0,35.1188
2001-01-16,-10.2,-14.0,2001-01-15 19:45:00+00:00,-6.4,2001-01-16 05:56:00+00:00,0.0,,,18.3,,7.9,287.4,1418,160,129.0,35.1188
2001-01-17,-5.9,-10.3,2001-01-16 15:17:00+00:00,-2.2,2001-01-17 06:21:00+00:00,0.0,,,23.5,,10.1,307.0,1427,160,129.0,35.1188
2001-01-18,-0.7,-5.5,2001-01-17 19:12:00+00:00,3.6,2001-01-18 03:25:00+00:00,0.0,,,15.2,,4.5,288.5,1426,160,129.0,35.1188
2001-01-19,2.1,-1.1,2001-01-18 17:27:00+00:00,7.0,2001-01-19 04:08:00+00:00,0.0,,,10.3,,3.3,308.6,1432,160,129.0,35.1188
2001-01-20,1.0,-2.4,2001-01-19 20:24:00+00:00,3.2,2001-01-19 18:12:00+00:00,12.0,,,21.3,,6.9,287.6,1304,160,129.0,35.1188
2001-01-21,-0.3,-2.2,2001-01-20 22:26:00+00:00,3.6,2001-01-21 04:58:00+00:00,0.0,,,20.2,,9.7,287.3,1435,160,129.0,35.1188
2001-01-22,1.3,-2.2,2001-01-21 15:06:00+00:00,3.9,2001-01-22 05:22:00+00:00,0.0,,,15.0,,4.7,291.9,1419,160,129.0,35.1188
2001-01-23,0.2,-2.4,2001-01-22 21:04:00+00:00,4.3,2001-01-23 06:07:00+00:00,0.0,,,14.7,,5.7,29.1,1417,160,129.0,35.1188
2001-01-24,1.3,-1.2,2001-01-23 16:28:00+00:00,2.7,2001-01-24 05:27:00+00:00,0.0,,,14.5,,6.0,38.7,1386,160,129.0,35.1188
2001-01-25,2.3,1.2,2001-01-25 14:55:00+00:00,3.7,2001-01-25 06:21:00+00:00,0.5,,,21.6,,6.8,47.0,1410,160,129.0,35.1188
2001-01-26,1.0,-2.6,2001-01-25 15:27:00+00:00,2.1,2001-01-26 02:54:00+00:00,0.0,,,22.8,,8.9,45.8,1435,160,129.0,35.1188
2001-01-27,-0.5,-2.4,2001-01-27 14:34:00+00:00,2.3,2001-01-27 07:42:00+00:00,2.0,,,16.4,,8.7,290.9,1429,160,129.0,35.1188
2001-01-28,-2.2,-5.8,2001-01-27 15:00:00+00:00,2.3,2001-01-28 03:17:00+00:00,0.0,,,19.0,,6.7,287.1,1430,160,129.0,35.1188
2001-01-29,-3.0,-7.3,2001-01-28 18:58:00+00:00,1.3,2001-01-29 05:50:00+00:00,0.0,,,19.8,,7.3,297.9,1433,160,129.0,35.1188
2001-01-30,-0.9,-5.7,2001-01-30 00:41:00+00:00,3.2,2001-01-30 06:17:00+00:00,0.0,,,12.4,,3.6,305.3,1406,160,129.0,35.1188
2001-01-31,1.3,-2.1,2001-01-30 22:18:00+00:00,3.5,2001-01-31 13:09:00+00:00,0.0,,,10.2,,4.3,289.3,1419,160,129.0,35.1188
2001-02-01,-1.8,-20.4,2001-02-01 05:54:00+00:00,3.7,2001-01-31 15:57:00+00:00,0.0,,,22.2,,8.0,298.5,1351,160,129.0,35.1188
2001-02-02,-4.2,-15.8,2001-02-01 16:35:00+00:00,0.3,2001-02-02 05:50:00+00:00,0.0,,,24.6,,8.0,283.1,1370,160,129.0,35.1188
2001-02-03,0.5,-3.8,2001-02-02 21:04:00+00:00,5.7,2001-02-03 05:10:00+00:00,0.0,,,12.5,,4.3,291.5,1430,160,129.0,35.1188
2001-02-04,2.8,0.4,2001-02-03 17:48:00+00:00,4.8,2001-02-04 03:28:00+00:00,0.0,,,10.9,,3.7,47.9,1433,160,129.0,35.1188
2001-02-05,4.7,1.7,2001-02-04 19:29:00+00:00,9.1,2001-02-05 04:22:00+00:00,0.0,,,10.6,,4.3,46.0,1320,160,129.0,35.1188
2001-02-06,3.6,2.8,2001-02-06 12:19:00+00:00,5.1,2001-02-06 01:39:00+00:00,0.0,,,12.6,,3.9,46.5,1433,160,129.0,35.1188
2001-02-07,2.2,-2.5,2001-02-07 14:52:00+00:00,6.7,2001-02-07 05:48:00+00:00,0.5,,,24.1,,6.8,293.8,1411,160,129.0,35.1188
2001-02-08,-4.5,-18.0,2001-02-07 15:44:00+00:00,0.3,2001-02-08 05:32:00+00:00,0.0,,,23.5,,11.3,282.9,1419,160,129.0,35.1188
2001-02-09,-2.6,-7.4,2001-02-08 16:27:00+00:00,2.5,2001-02-09 04:46:00+00:00,0.0,,,21.2,,6.9,293.6,1376,160,129.0,35.1188
2001-02-10,-0.8,-3.9,2001-02-09 21:27:00+00:00,4.2,2001-02-10 05:39:00+00:00,0.0,,,9.3,,4.0,292.4,1405,160,129.0,35.1188
2001-02-11,-0.2,-10.3,2001-02-10 23:42:00+00:00,3.7,2001-02-11 04:49:00+00:00,0.0,,,14.6,,5.5,286.0,1376,160,129.0,35.1188
2001-02-12,-1.1,-2.8,2001-02-12 14:57:00+00:00,0.9,2001-02-12 07:14:00+00:00,0.0,,,13.4,,6.8,300.7,1415,160,129.0,35.1188
2001-02-13,-0.8,-4.0,2001-02-13 14:53:00+00:00,3.9,2001-02-13 04:58:00+00:00,0.0,,,21.3,,6.7,288.5,1377,160,129.0,35.1188
2001-02-14,-4.1,-6.6,2001-02-13 21:59:00+00:00,-0.2,2001-02-14 07:21:00+00:00,0.0,,,23.8,,8.9,287.8,1420,160,129.0,35.1188
2001-02-15,-0.9,-5.7,2001-02-14 19:11:00+00:00,5.0,2001-02-15 05:22:00+00:00,0.0,,,19.1,,6.8,295.0,1430,160,129.0,35.1188
2001-02-16,-3.6,-8.1,2001-02-16 00:33:00+00:00,0.3,2001-02-16 07:27:00+00:00,0.0,,,23.0,,7.8,286.4,1338,160,129.0,35.1188
2001-02-17,-2.3,-7.4,2001-02-16 21:38:00+00:00,3.0,2001-02-17 06:07:00+00:00,0.0,,,20.4,,7.5,303.2,1418,160,129.0,35.1188
2001-02-18,2.7,-10.9,2001-02-18 00:48:00+00:00,8.2,2001-02-18 05:52:00+00:00,0.0,,,18.9,,8.0,292.1,1261,160,129.0,35.1188
2001-02-19,4.5,0.3,2001-02-18 20:39:00+00:00,11.2,2001-02-19 04:53:00+00:00,0.0,,,22.0,,8.1,283.7,1396,160,129.0,35.1188
2001-02-20,5.6,3.1,2001-02-19 21:36:00+00:00,10.3,2001-02-20 02:58:00+00:00,0.0,,,10.1,,4.7,123.0,1415,160,129.0,35.1188
2001-02-21,4.4,3.0,2001-02-21 14:22:00+00:00,7.4,2001-02-21 01:49:00+00:00,2.0,,,16.5,,5.7,278.3,1419,160,129.0,35.1188
2001-02-22,9.1,3.5,2001-02-21 17:41:00+00:00,14.8,2001-02-22 05:33:00+00:00,0.0,,,12.6,,3.3,322.0,1403,160,129.0,35.1188
2001-02-23,5.4,2.1,2001-02-23 14:51:00+00:00,9.9,2001-02-22 18:08:00+00:00,18.5,,,17.6,,5.7,41.4,1419,160,129.0,35.1188
2001-02-24,-0.1,-2.5,2001-02-24 14:54:00+00:00,2.3,2001-02-23 15:05:00+00:00,3.5,,,19.2,,7.1,286.5,1412,160,129.0,35.1188
2001-02-25,-2.2,-5.8,2001-02-24 22:00:00+00:00,1.6,2001-02-25 07:32:00+00:00,0.0,,,22.4,,8.2,291.2,1409,160,129.0,35.1188
2001-02-26,1.0,-3.1,2001-02-25 18:35:00+00:00,5.7,2001-02-26 05:52:00+00:00,0.0,,,18.8,,8.3,289.5,1413,160,129.0,35.1188
2001-02-27,6.7,2.0,2001-02-26 18:28:00+00:00,10.9,2001-02-27 13:37:00+00:00,7.5,,,20.4,,5.5,192.0,1405,160,129.0,35.1188
2001-02-28,6.4,3.4,2001-02-28 14:58:00+00:00,14.2,2001-02-27 18:34:00+00:00,36.0,,,23.9,,6.5,190.7,1405,160,129.0,35.1188
2001-03-01,3.5,1.3,2001-03-01 14:36:00+00:00,7.6,2001-03-01 02:39:00+00:00,0.0,,,13.6,,4.6,284.2,1420,160,129.0,35.1188
2001-03-02,4.1,0.1,2001-03-01 21:52:00+00:00,9.9,2001-03-02 04:48:00+00:00,0.0,,,12.4,,4.0,285.0,1413,160,129.0,35.1188
2001-03-03,5.7,-3.1,2001-03-03 14:05:00+00:00,9.7,2001-03-03 04:13:00+00:00,0.0,,,24.8,,4.4,280.8,1414,160,129.0,35.1188
2001-03-04,-2.3,-4.7,2001-03-04 13:36:00+00:00,0.9,2001-03-04 03:25:00+00:00,0.0,,,21.3,,7.4,285.4,1377,160,129.0,35.1188
2001-03-05,0.8,-6.5,2001-03-04 20:47:00+00:00,6.7,2001-03-05 05:01:00+00:00,0.0,,,19.7,,6.1,302.0,1404,160,129.0,35.1188
2001-03-06,5.7,1.6,2001-03-05 16:05:00+00:00,11.8,2001-03-06 05:58:00+00:00,0.0,,,18.8,,6.5,284.6,1173,160,129.0,35.1188
2001-03-07,-0.2,-4.7,2001-03-07 14:54:00+00:00,4.4,2001-03-07 06:06:00+00:00,0.0,,,20.2,,6.9,280.4,1405,160,129.0,35.1188
2001-03-08,-5.1,-6.9,2001-03-07 21:11:00+00:00,-0.9,2001-03-08 06:24:00+00:00,0.0,,,20.3,,6.8,316.2,1434,160,129.0,35.1188
2001-03-09,-2.5,-8.0,2001-03-08 18:18:00+00:00,3.1,2001-03-09 04:53:00+00:00,0.0,,,14.4,,5.2,307.0,1436,160,129.0,35.1188
2001-03-10,2.4,-1.7,2001-03-09 15:54:00+00:00,10.6,2001-03-10 07:18:00+00:00,0.0,,,15.9,,6.2,261.3,1426,160,129.0,35.1188
2001-03-11,0.9,-1.6,2001-03-10 18:07:00+00:00,4.9,2001-03-11 07:21:00+00:00,0.0,,,8.8,,3.5,8.0,1424,160,129.0,35.1188
2001-03-12,1.7,-1.9,2001-03-11 21:40:00+00:00,6.8,2001-03-12 07:20:00+00:00,0.0,,,20.4,,8.3,287.6,1406,160,129.0,35.1188
2001-03-13,3.3,-1.8,2001-03-12 18:47:00+00:00,8.3,2001-03-13 03:28:00+00:00,0.0,,,12.3,,5.0,302.3,1413,160,129.0,35.1188
2001-03-14,9.4,2.6,2001-03-13 15:46:00+00:00,14.2,2001-03-14 05:18:00+00:00,0.0,,,15.8,,6.5,258.9,1421,160,129.0,35.1188
2001-03-15,7.3,1.5,2001-03-15 09:34:00+00:00,13.0,2001-03-15 03:38:00+00:00,0.0,,,13.4,,4.8,266.4,1414,160,129.0,35.1188
2001-03-16,6.7,2.0,2001-03-15 18:19:00+00:00,12.0,2001-03-16 04:36:00+00:00,0.0,,,6.0,,2.0,330.0,1433,160,129.0,35.1188
2001-03-17,5.0,3.3,2001-03-17 02:33:00+00:00,8.7,2001-03-17 06:57:00+00:00,3.0,,,12.7,,4.0,320.6,1433,160,129.0,35.1188
2001-03-18,8.1,3.0,2001-03-17 20:52:00+00:00,15.2,2001-03-18 05:09:00+00:00,0.0,,,20.9,,7.7,314.9,1421,160,129.0,35.1188
2001-03-19,10.1,6.2,2001-03-18 22:07:00+00:00,15.9,2001-03-19 05:44:00+00:00,0.0,,,12.2,,5.2,275.0,1407,160,129.0,35.1188
2001-03-20,11.2,6.5,2001-03-19 18:30:00+00:00,16.3,2001-03-20 06:14:00+00:00,0.0,,,15.9,,6.5,275.7,1421,160,129.0,35.1188
2001-03-21,12.8,9.5,2001-03-21 14:59:00+00:00,18.3,2001-03-21 04:29:00+00:00,0.0,,,10.1,,4.3,313.8,1418,160,129.0,35.1188
2001-03-22,12.8,8.2,2001-03-21 18:02:00+00:00,18.1,2001-03-22 07:06:00+00:00,0.0,,,12.7,,5.9,289.3,1425,160,129.0,35.1188
2001-03-23,10.0,6.2,2001-03-22 21:44:00+00:00,14.8,2001-03-23 05:22:00+00:00,0.0,,,10.9,,4.9,41.2,1407,160,129.0,35.1188
2001-03-24,12.8,9.2,2001-03-23 21:28:00+00:00,16.8,2001-03-24 05:35:00+00:00,0.0,,,7.6,,3.1,13.2,1420,160,129.0,35.1188
2001-03-25,13.7,8.2,2001-03-25 14:58:00+00:00,20.3,2001-03-25 04:02:00+00:00,0.0,,,21.8,,4.8,292.0,1416,160,129.0,35.1188
2001-03-26,6.0,2.8,2001-03-25 21:48:00+00:00,11.3,2001-03-26 04:03:00+00:00,0.0,,,18.1,,6.1,288.8,1387,160,129.0,35.1188
2001-03-27,4.4,0.0,2001-03-26 20:47:00+00:00,10.1,2001-03-27 04:03:00+00:00,0.0,,,11.5,,5.4,84.0,1414,160,129.0,35.1188
2001-03-28,4.1,0.9,2001-03-28 00:04:00+00:00,8.6,2001-03-28 06:17:00+00:00,1.0,,,14.4,,5.3,298.0,1395,160,129.0,35.1188
2001-03-29,2.3,-0.5,2001-03-29 14:55:00+00:00,8.6,2001-03-29 04:48:00+00:00,0.0,,,22.7,,7.9,294.1,1430,160,129.0,35.1188
2001-03-30,-0.1,-1.7,2001-03-30 02:51:00+00:00,3.1,2001-03-30 00:57:00+00:00,2.0,,,12.6,,4.8,305.3,1433,160,129.0,35.1188
2001-03-31,2.8,-1.8,2001-03-30 20:31:00+00:00,9.3,2001-03-31 05:41:00+00:00,0.0,,,17.5,,7.9,294.9,1426,160,129.0,35.1188
2001-04-01,4.7,-1.1,2001-03-31 21:03:00+00:00,10.6,2001-04-01 06:11:00+00:00,0.0,,,16.7,,6.6,286.7,1431,160,129.0,35.1188
2001-04-02,8.2,2.9,2001-04-01 20:28:00+00:00,14.1,2001-04-02 06:34:00+00:00,0.0,,,14.8,,7.3,260.1,1425,160,129.0,35.1188
2001-04-03,7.0,3.6,2001-04-03 14:48:00+00:00,13.2,2001-04-03 01:49:00+00:00,0.0,,,13.2,,4.3,112.8,1417,160,129.0,35.1188
2001-04-04,8.0,3.6,2001-04-03 15:12:00+00:00,13.6,2001-04-04 05:04:00+00:00,0.0,,,11.6,,4.1,284.1,1425,160,129.0,35.1188
2001-04-05,10.9,5.4,2001-04-04 20:00:00+00:00,16.0,2001-04-05 05:37:00+00:00,0.0,,,12.8,,5.8,268.6,1372,160,129.0,35.1188
2001-04-06,11.2,8.4,2001-04-06 14:42:00+00:00,17.9,2001-04-06 01:54:00+00:00,0.0,,,11.5,,4.3,18.2,1404,160,129.0,35.1188
2001-04-07,11.6,8.3,2001-04-06 16:20:00+00:00,16.4,2001-04-07 03:51:00+00:00,0.0,,,7.3,,4.0,19.9,1413,160,129.0,35.1188
2001-04-08,14.6,10.0,2001-04-07 15:17:00+00:00,20.3,2001-04-08 04:39:00+00:00,0.0,,,12.1,,3.3,98.0,1422,160,129.0,35.1188
2001-04-09,15.8,13.1,2001-04-09 14:56:00+00:00,20.0,2001-04-09 03:22:00+00:00,0.0,,,20.7,,7.4,39.3,1429,160,129.0,35.1188
2001-04-10,16.8,11.9,2001-04-09 18:10:00+00:00,22.1,2001-04-10 02:40:00+00:00,0.0,,,15.7,,5.1,30.8,1413,160,129.0,35.1188
2001-04-11,12.3,2.1,2001-04-11 14:37:00+00:00,19.8,2001-04-11 01:42:00+00:00,7.5,,,23.3,,6.5,288.1,1414,160,129.0,35.1188
2001-04-12,6.9,1.0,2001-04-11 20:22:00+00:00,13.5,2001-04-12 06:22:00+00:00,0.0,,,19.0,,5.6,287.3,1407,160,129.0,35.1188
2001-04-13,9.8,4.2,2001-04-12 19:57:00+00:00,15.7,2001-04-13 06:18:00+00:00,0.0,,,11.3,,4.7,264.1,1425,160,129.0,35.1188
2001-04-14,11.7,7.1,2001-04-13 21:51:00+00:00,17.7,2001-04-14 06:11:00+00:00,2.5,,,13.1,,5.2,306.3,1409,160,129.0,35.1188
2001-04-15,12.4,5.5,2001-04-14 19:34:00+00:00,19.1,2001-04-15 04:38:00+00:00,0.0,,,11.9,,5.7,269.3,1415,160,129.0,35.1188
2001-04-16,13.1,9.3,2001-04-15 19:58:00+00:00,19.7,2001-04-16 04:25:00+00:00,0.0,,,12.8,,5.4,271.7,1425,160,129.0,35.1188
2001-04-17,14.4,8.7,2001-04-16 20:02:00+00:00,20.1,2001-04-17 02:21:00+00:00,0.0,,,12.4,,4.2,274.9,1411,160,129.0,35.1188
2001-04-18,15.6,12.2,2001-04-17 20:57:00+00:00,20.8,2001-04-18 02:20:00+00:00,0.0,,,9.3,,3.1,269.4,1401,160,129.0,35.1188
2001-04-19,16.7,10.1,2001-04-19 14:58:00+00:00,23.4,2001-04-19 04:57:00+00:00,0.0,,,12.2,,5.9,292.1,1412,160,129.0,35.1188
2001-04-20,7.7,5.4,2001-04-20 13:58:00+00:00,13.2,2001-04-19 16:02:00+00:00,0.0,,,15.9,,6.3,69.7,1404,160,129.0,35.1188
2001-04-21,9.2,5.3,2001-04-20 15:25:00+00:00,14.1,2001-04-21 05:30:00+00:00,0.0,,,12.9,,4.4,48.8,1416,160,129.0,35.1188
2001-04-22,9.1,6.7,2001-04-22 12:25:00+00:00,13.3,2001-04-22 04:05:00+00:00,0.0,,,14.8,,6.1,105.0,1423,160,129.0,35.1188
2001-04-23,11.8,5.8,2001-04-22 20:17:00+00:00,18.9,2001-04-23 05:34:00+00:00,0.0,,,12.4,,5.6,286.9,1416,160,129.0,35.1188
2001-04-24,11.1,8.7,2001-04-24 14:24:00+00:00,16.2,2001-04-24 02:11:00+00:00,0.0,,,10.0,,4.2,271.9,1423,160,129.0,35.1188
