dt,avg_ta,min_ta,max_ta,max_ta_hrmt,min_ta_hrmt,sum_rn,hr1_max_rn,mi10_max_rn,sum_rn_dur,n9_9_rn,mi10_max_rn_hrmt,hr1_max_rn_hrmt,min_rhm,avg_rhm,min_rhm_hrmt,hr24_sum_rws,avg_ws,max_ins_ws,max_ws,max_ins_ws_wd,max_ws_wd,max_wd,max_ins_ws_hrmt,max_ws_hrmt,ss_dur,sum_ss_hr,hr1_max_icsr,sum_gsr,hr1_max_icsr_hrmt,avg_tca,avg_lmac,avg_td,min_tg,avg_ts,avg_m1_5_te,avg_cm5_te,avg_cm10_te,avg_cm20_te,avg_cm30_te,avg_m0_5_te,avg_m1_0_te,avg_m5_0_te,avg_m3_0_te,dd_mes,dd_mefs,sum_dpth_fhsc,dd_mes_hrmt,dd_mefs_hrmt,avg_pv,avg_pa,avg_ps,min_ps,max_ps,min_ps_hrmt,max_ps_hrmt,sum_fog_dur,sum_lrg_ev,sum_sml_ev,iscs,code,x,y
1985-12-19,-1.8,-3.3,2.4,1355.0,2400.0,,,,,,,,28.0,38.3,1500.0,4770.0,5.5,16.2,9.3,270.0,270.0,270.0,120.0,1500.0,9.5,7.9,,,,1.3,0.8,-13.8,-8.7,-1.3,9.4,-1.2,-0.8,-0.4,1.1,1.4,7.6,15.7,14.4,,,,,,2.1,1023.6,1023.6,1021.1,1028.8,30.0,2400.0,,,3.0,,90,128.5647,38.2509
1985-12-19,-8.7,-11.9,-5.8,1450.0,2320.0,0.1,,,4.0,,,,55.0,74.3,1620.0,4248.0,4.9,14.9,7.7,290.0,290.0,320.0,15.0,120.0,9.6,8.0,1.73,4.52,1100.0,0.5,0.5,-12.4,-14.3,-7.3,6.7,-6.7,-5.3,-3.3,-0.2,0.3,4.6,,,0.4,0.4,0.4,630.0,630.0,2.4,926.7,1030.7,1028.5,1036.5,100.0,2320.0,,,1.3,{눈}0230-{눈}{강도0}0300-{눈}{강도0}0600-0630.,100,128.7587,37.6869
1985-12-19,-5.6,-9.8,-0.3,1429.0,2400.0,,,,,,,,34.0,69.5,1520.0,1020.0,1.2,6.2,4.3,180.0,200.0,140.0,1204.0,1610.0,9.5,6.6,1.5,7.6,1200.0,5.3,3.8,-11.1,-18.3,-2.5,11.5,-2.2,-2.2,-0.9,0.4,3.2,7.8,17.9,16.3,,,,,,2.7,1017.6,1027.4,1024.4,1031.4,120.0,2400.0,2.12,,1.0,{박무}0230-{박무}{강도0}0300-{박무}{강도0}0600-{시정(미만)}{1km}{안개}0740-{안개}{강도0}0900-{시정(이상)}{1km}{박무}0947-1145.,101,127.7357,37.9026
1985-12-19,-1.1,-3.4,2.7,1325.0,2400.0,,,,,,,,34.0,44.5,1645.0,2946.0,3.4,13.0,6.7,250.0,250.0,250.0,1215.0,1240.0,9.6,8.1,1.97,9.64,1100.0,0.0,0.0,-11.7,-11.4,-2.0,11.9,-1.3,-1.1,0.0,1.6,3.3,8.7,16.5,16.2,,,,,,2.5,1021.0,1024.5,1021.6,1029.1,0.0,2400.0,,,1.9,,105,128.891,37.7515
1985-12-19,-4.3,-7.4,-1.1,1557.0,750.0,0.3,,,0.33,,,,45.0,67.3,1631.0,2600.0,3.0,9.2,6.0,270.0,270.0,290.0,1330.0,1333.0,9.6,8.7,1.71,9.75,1100.0,1.0,0.6,-9.8,-10.8,-4.4,9.9,-2.8,-2.2,-1.6,-0.5,3.3,6.8,16.5,15.5,1.8,0.7,0.7,20.0,20.0,3.0,1017.3,1028.6,1024.4,1032.8,100.0,2400.0,,,1.3,-{눈}-0020.  -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-{연무}1040-{연무}{강도0}1200-1240.,108,126.9658,37.5714
1985-12-19,-4.1,-7.2,-0.9,1506.0,706.0,0.0,,,0.25,,,,48.0,66.3,1326.0,3646.0,4.2,11.7,7.3,320.0,320.0,320.0,2221.0,2230.0,9.6,8.4,1.38,3.15,1130.0,0.8,0.4,-10.1,-11.5,-2.6,10.7,-1.0,-0.6,-0.1,0.9,3.4,6.9,16.2,15.3,4.0,0.0,0.0,0.0,,2.9,1019.1,1028.2,1023.9,1032.2,7.0,2336.0,,,1.5,-{눈}-0015.  -{박무}-{박무}{강도2}0300-0416.  {박무}0806-{박무}{강도1}0900-{박무}{강도0}1200-1237.,112,126.6244,37.4776
1985-12-19,-6.5,-11.5,-0.7,1440.0,746.0,0.5,,,3.47,,,,43.0,75.0,1500.0,1167.0,1.4,9.6,4.5,290.0,290.0,290.0,1415.0,1410.0,9.6,7.3,1.6,8.35,1200.0,3.0,1.5,-10.9,-13.8,-4.1,,-2.6,-2.0,-1.6,-0.9,1.8,5.3,,,2.6,2.6,2.6,349.0,349.0,2.7,1006.3,1027.7,1024.9,1031.4,100.0,2400.0,,,1.2,{눈}0021-{눈}{강도0}0300-0349.  {박무}0345-{박무}{강도0}0600-{박무}{강도0}0900-1035.,114,127.9466,37.3375
1985-12-19,-7.3,-11.0,-4.2,1500.0,746.0,0.9,,,2.67,,,,62.0,78.0,1524.0,,7.4,12.7,12.0,320.0,320.0,,1205.0,1210.0,,,,,,2.5,,-10.7,,,,,,,,,,,,2.9,1.2,,240.0,240.0,2.7,966.2,,,,,,,,0.5,,116,126.9639,37.4442
1985-12-19,-4.3,-8.8,0.1,1455.0,757.0,0.3,,,2.17,,,,40.0,70.5,1520.0,1544.0,1.8,8.3,4.7,20.0,20.0,290.0,1130.0,1130.0,9.6,8.2,1.97,10.76,1140.0,0.0,0.0,-9.7,-17.4,-2.3,10.4,-1.6,-0.9,-0.6,0.6,3.1,7.4,14.7,14.6,2.4,1.9,1.9,205.0,205.0,3.0,1024.0,1028.9,1024.7,1032.8,100.0,2400.0,,,1.3,-{눈}-0210.,119,126.9853,37.2723
1985-12-19,-4.5,-9.3,0.3,1450.0,2400.0,0.2,,,1.52,,,,33.0,70.5,1520.0,1116.0,1.3,,4.5,,270.0,270.0,,1420.0,9.6,7.2,,,,3.0,1.5,-10.1,-16.0,-2.0,,-0.6,-0.3,0.7,1.5,2.1,6.5,,,0.6,0.6,0.6,140.0,140.0,2.9,1019.9,,,,,,,,1.3,{눈}0017-0148.  {박무}0240-{박무}{강도0}0300-{박무}{강도0}0900-1130.,127,127.9525,36.9705
