dt,ta,tn,tn_at,tx,tx_at,rn,rx_1hr,rx_1hr_at,wx,wx_at,wa,wd_wx,nmin,code,x,y
1999-01-01,3.0,-0.2,1998-12-31 19:40:00+00:00,6.8,1999-01-01 05:58:00+00:00,0.0,,,11.3,,2.3,207.9,0,910,129.08,35.07
1999-01-02,5.9,0.8,1999-01-01 16:42:00+00:00,9.3,1999-01-02 05:27:00+00:00,0.0,,,11.3,,1.8,207.9,0,910,129.08,35.07
1999-01-03,7.4,4.1,1999-01-02 20:14:00+00:00,12.1,1999-01-03 04:33:00+00:00,0.0,,,6.7,,2.1,49.5,0,910,129.08,35.07
1999-01-04,9.9,6.5,1999-01-03 19:33:00+00:00,14.6,1999-01-04 04:02:00+00:00,0.0,,,7.5,,2.0,323.7,0,910,129.08,35.07
1999-01-05,10.0,7.7,1999-01-04 21:48:00+00:00,13.3,1999-01-05 01:05:00+00:00,0.0,,,7.3,,1.9,180.6,0,910,129.08,35.07
1999-01-06,8.6,6.4,1999-01-05 21:42:00+00:00,10.8,1999-01-06 05:50:00+00:00,0.0,,,8.0,,2.0,324.1,0,910,129.08,35.07
1999-01-07,1.1,-3.2,1999-01-07 14:54:00+00:00,7.5,1999-01-06 15:01:00+00:00,0.0,,,11.0,,3.1,151.7,0,910,129.08,35.07
1999-01-08,-2.4,-5.8,1999-01-07 22:15:00+00:00,1.9,1999-01-08 05:45:00+00:00,0.0,,,8.3,,2.6,163.3,0,910,129.08,35.07
1999-01-09,-2.7,-5.8,1999-01-08 22:08:00+00:00,1.5,1999-01-09 06:17:00+00:00,0.0,,,11.0,,3.2,148.3,0,910,129.08,35.07
1999-01-10,-1.3,-5.0,1999-01-09 22:17:00+00:00,2.6,1999-01-10 06:37:00+00:00,0.0,,,10.1,,2.8,163.3,0,910,129.08,35.07
1999-01-11,0.9,-1.8,1999-01-10 21:16:00+00:00,5.3,1999-01-11 05:17:00+00:00,0.0,,,15.3,,3.5,152.6,0,910,129.08,35.07
1999-01-12,0.7,-2.5,1999-01-11 22:36:00+00:00,4.7,1999-01-12 05:05:00+00:00,0.0,,,9.9,,2.8,168.0,0,910,129.08,35.07
1999-01-13,2.0,-2.1,1999-01-12 17:41:00+00:00,6.5,1999-01-13 06:21:00+00:00,0.0,,,10.0,,3.0,176.9,0,910,129.08,35.07
1999-01-14,3.4,-0.1,1999-01-13 21:03:00+00:00,6.5,1999-01-14 04:39:00+00:00,0.0,,,6.7,,1.8,155.2,0,910,129.08,35.07
1999-01-15,2.2,-0.2,1999-01-14 22:16:00+00:00,6.5,1999-01-15 05:59:00+00:00,0.0,,,10.4,,2.8,173.9,0,910,129.08,35.07
